1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B3000000337D4C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:13:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:53:01 CST 2014
Total Mission Samples:  3873
Total Device Samples:  10890
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:53:01 PM,C,17.057
04/08/14 09:13:01 PM,C,16.681
04/08/14 09:33:01 PM,C,16.556
04/08/14 09:53:01 PM,C,16.431
04/08/14 10:13:01 PM,C,16.431
04/08/14 10:33:01 PM,C,16.368
04/08/14 10:53:01 PM,C,16.243
04/08/14 11:13:01 PM,C,16.181
04/08/14 11:33:01 PM,C,16.243
04/08/14 11:53:01 PM,C,15.868
05/08/14 12:13:01 AM,C,15.993
05/08/14 12:33:01 AM,C,16.181
05/08/14 12:53:01 AM,C,16.306
05/08/14 01:13:01 AM,C,16.306
05/08/14 01:33:01 AM,C,16.243
05/08/14 01:53:01 AM,C,16.431
05/08/14 02:13:01 AM,C,16.431
05/08/14 02:33:01 AM,C,16.368
05/08/14 02:53:01 AM,C,16.055
05/08/14 03:13:01 AM,C,16.055
05/08/14 03:33:01 AM,C,15.993
05/08/14 03:53:01 AM,C,15.868
05/08/14 04:13:01 AM,C,15.805
05/08/14 04:33:01 AM,C,15.993
05/08/14 04:53:01 AM,C,15.93
05/08/14 05:13:01 AM,C,15.805
05/08/14 05:33:01 AM,C,15.805
05/08/14 05:53:01 AM,C,17.808
05/08/14 06:13:01 AM,C,19.935
05/08/14 06:33:01 AM,C,21.874
05/08/14 06:53:01 AM,C,23
05/08/14 07:13:01 AM,C,23.25
05/08/14 07:33:01 AM,C,25.375
05/08/14 07:53:01 AM,C,26.687
05/08/14 08:13:01 AM,C,27.125
05/08/14 08:33:01 AM,C,27.749
05/08/14 08:53:01 AM,C,27.999
05/08/14 09:13:01 AM,C,28.186
05/08/14 09:33:01 AM,C,26.187
05/08/14 09:53:01 AM,C,28.249
05/08/14 10:13:01 AM,C,27.999
05/08/14 10:33:01 AM,C,27.437
05/08/14 10:53:01 AM,C,26.75
05/08/14 11:13:01 AM,C,25.687
05/08/14 11:33:01 AM,C,27.125
05/08/14 11:53:01 AM,C,26.937
05/08/14 12:13:01 PM,C,26.25
05/08/14 12:33:01 PM,C,26.625
05/08/14 12:53:01 PM,C,28.811
05/08/14 01:13:01 PM,C,28.749
05/08/14 01:33:01 PM,C,24.563
05/08/14 01:53:01 PM,C,25.562
05/08/14 02:13:01 PM,C,25.812
05/08/14 02:33:01 PM,C,26.312
05/08/14 02:53:01 PM,C,27.624
05/08/14 03:13:01 PM,C,26.812
05/08/14 03:33:01 PM,C,25.937
05/08/14 03:53:01 PM,C,24.125
05/08/14 04:13:01 PM,C,23.437
05/08/14 04:33:01 PM,C,22.5
05/08/14 04:53:01 PM,C,21.812
05/08/14 05:13:01 PM,C,21.061
05/08/14 05:33:01 PM,C,20.498
05/08/14 05:53:01 PM,C,19.623
05/08/14 06:13:01 PM,C,18.621
05/08/14 06:33:01 PM,C,18.371
05/08/14 06:53:01 PM,C,17.996
05/08/14 07:13:01 PM,C,17.808
05/08/14 07:33:01 PM,C,17.37
05/08/14 07:53:01 PM,C,17.057
05/08/14 08:13:01 PM,C,16.744
05/08/14 08:33:01 PM,C,16.681
05/08/14 08:53:01 PM,C,16.681
05/08/14 09:13:01 PM,C,16.556
05/08/14 09:33:01 PM,C,16.556
05/08/14 09:53:01 PM,C,16.181
05/08/14 10:13:01 PM,C,15.555
05/08/14 10:33:01 PM,C,15.054
05/08/14 10:53:01 PM,C,14.991
05/08/14 11:13:01 PM,C,15.116
05/08/14 11:33:01 PM,C,15.179
05/08/14 11:53:01 PM,C,14.991
06/08/14 12:13:01 AM,C,14.678
06/08/14 12:33:01 AM,C,14.615
06/08/14 12:53:01 AM,C,14.803
06/08/14 01:13:01 AM,C,14.803
06/08/14 01:33:01 AM,C,14.991
06/08/14 01:53:01 AM,C,15.492
06/08/14 02:13:01 AM,C,15.429
06/08/14 02:33:01 AM,C,15.68
06/08/14 02:53:01 AM,C,15.868
06/08/14 03:13:01 AM,C,15.93
06/08/14 03:33:01 AM,C,16.118
06/08/14 03:53:01 AM,C,16.368
06/08/14 04:13:01 AM,C,17.307
06/08/14 04:33:01 AM,C,17.432
06/08/14 04:53:01 AM,C,17.432
06/08/14 05:13:01 AM,C,17.558
06/08/14 05:33:01 AM,C,17.745
06/08/14 05:53:01 AM,C,17.745
06/08/14 06:13:01 AM,C,17.933
06/08/14 06:33:01 AM,C,18.183
06/08/14 06:53:01 AM,C,17.996
06/08/14 07:13:01 AM,C,17.683
06/08/14 07:33:01 AM,C,17.62
06/08/14 07:53:01 AM,C,17.808
06/08/14 08:13:01 AM,C,17.996
06/08/14 08:33:01 AM,C,18.684
06/08/14 08:53:01 AM,C,19.31
06/08/14 09:13:01 AM,C,20.623
06/08/14 09:33:01 AM,C,22.687
06/08/14 09:53:01 AM,C,23.25
06/08/14 10:13:01 AM,C,24.25
06/08/14 10:33:01 AM,C,25.75
06/08/14 10:53:01 AM,C,27.749
06/08/14 11:13:01 AM,C,28.124
06/08/14 11:33:01 AM,C,29.436
06/08/14 11:53:01 AM,C,26.687
06/08/14 12:13:01 PM,C,25.812
06/08/14 12:33:01 PM,C,24.938
06/08/14 12:53:01 PM,C,23.25
06/08/14 01:13:01 PM,C,23
06/08/14 01:33:01 PM,C,26
06/08/14 01:53:01 PM,C,25.5
06/08/14 02:13:01 PM,C,23.562
06/08/14 02:33:01 PM,C,26.125
06/08/14 02:53:01 PM,C,25.625
06/08/14 03:13:01 PM,C,24.625
06/08/14 03:33:01 PM,C,24.375
06/08/14 03:53:01 PM,C,24.625
06/08/14 04:13:01 PM,C,23.75
06/08/14 04:33:01 PM,C,22.687
06/08/14 04:53:01 PM,C,21.749
06/08/14 05:13:01 PM,C,21.311
06/08/14 05:33:01 PM,C,20.936
06/08/14 05:53:01 PM,C,19.81
06/08/14 06:13:01 PM,C,18.934
06/08/14 06:33:01 PM,C,19.497
06/08/14 06:53:01 PM,C,18.809
06/08/14 07:13:01 PM,C,18.621
06/08/14 07:33:01 PM,C,18.934
06/08/14 07:53:01 PM,C,18.371
06/08/14 08:13:01 PM,C,18.183
06/08/14 08:33:01 PM,C,17.871
06/08/14 08:53:01 PM,C,17.37
06/08/14 09:13:01 PM,C,16.994
06/08/14 09:33:01 PM,C,16.807
06/08/14 09:53:01 PM,C,16.556
06/08/14 10:13:01 PM,C,16.556
06/08/14 10:33:01 PM,C,16.619
06/08/14 10:53:01 PM,C,16.619
06/08/14 11:13:01 PM,C,16.556
06/08/14 11:33:01 PM,C,16.494
06/08/14 11:53:01 PM,C,16.619
07/08/14 12:13:01 AM,C,16.681
07/08/14 12:33:01 AM,C,16.681
07/08/14 12:53:01 AM,C,16.431
07/08/14 01:13:01 AM,C,16.243
07/08/14 01:33:01 AM,C,15.993
07/08/14 01:53:01 AM,C,15.868
07/08/14 02:13:01 AM,C,15.93
07/08/14 02:33:01 AM,C,15.805
07/08/14 02:53:01 AM,C,15.492
07/08/14 03:13:01 AM,C,15.93
07/08/14 03:33:01 AM,C,15.492
07/08/14 03:53:01 AM,C,15.492
07/08/14 04:13:01 AM,C,15.492
07/08/14 04:33:01 AM,C,15.868
07/08/14 04:53:01 AM,C,15.617
07/08/14 05:13:01 AM,C,15.429
07/08/14 05:33:01 AM,C,15.367
07/08/14 05:53:01 AM,C,16.055
07/08/14 06:13:01 AM,C,17.057
07/08/14 06:33:01 AM,C,17.745
07/08/14 06:53:01 AM,C,18.496
07/08/14 07:13:01 AM,C,19.998
07/08/14 07:33:01 AM,C,21.624
07/08/14 07:53:01 AM,C,21.874
07/08/14 08:13:01 AM,C,24.25
07/08/14 08:33:01 AM,C,28.249
07/08/14 08:53:01 AM,C,26.937
07/08/14 09:13:01 AM,C,24.5
07/08/14 09:33:01 AM,C,25.75
07/08/14 09:53:01 AM,C,28.374
07/08/14 10:13:01 AM,C,28.374
07/08/14 10:33:01 AM,C,28.749
07/08/14 10:53:01 AM,C,27.874
07/08/14 11:13:01 AM,C,26.25
07/08/14 11:33:01 AM,C,29.373
07/08/14 11:53:01 AM,C,29.061
07/08/14 12:13:01 PM,C,27.937
07/08/14 12:33:01 PM,C,26.5
07/08/14 12:53:01 PM,C,27.499
07/08/14 01:13:01 PM,C,29.685
07/08/14 01:33:01 PM,C,29.123
07/08/14 01:53:01 PM,C,26.187
07/08/14 02:13:01 PM,C,27.812
07/08/14 02:33:01 PM,C,28.561
07/08/14 02:53:01 PM,C,26.375
07/08/14 03:13:01 PM,C,25.937
07/08/14 03:33:01 PM,C,26.375
07/08/14 03:53:01 PM,C,26.437
07/08/14 04:13:01 PM,C,26.812
07/08/14 04:33:01 PM,C,25.188
07/08/14 04:53:01 PM,C,23
07/08/14 05:13:01 PM,C,22.124
07/08/14 05:33:01 PM,C,21.436
07/08/14 05:53:01 PM,C,19.935
07/08/14 06:13:01 PM,C,18.997
07/08/14 06:33:01 PM,C,19.748
07/08/14 06:53:01 PM,C,20.06
07/08/14 07:13:01 PM,C,19.998
07/08/14 07:33:01 PM,C,18.934
07/08/14 07:53:01 PM,C,19.31
07/08/14 08:13:01 PM,C,19.435
07/08/14 08:33:01 PM,C,19.122
07/08/14 08:53:01 PM,C,18.684
07/08/14 09:13:01 PM,C,18.309
07/08/14 09:33:01 PM,C,17.996
07/08/14 09:53:01 PM,C,17.808
07/08/14 10:13:01 PM,C,18.121
07/08/14 10:33:01 PM,C,18.246
07/08/14 10:53:01 PM,C,18.121
07/08/14 11:13:01 PM,C,17.871
07/08/14 11:33:01 PM,C,17.745
07/08/14 11:53:01 PM,C,17.432
08/08/14 12:13:01 AM,C,17.057
08/08/14 12:33:01 AM,C,17.432
08/08/14 12:53:01 AM,C,17.933
08/08/14 01:13:01 AM,C,17.871
08/08/14 01:33:01 AM,C,17.057
08/08/14 01:53:01 AM,C,16.744
08/08/14 02:13:01 AM,C,16.494
08/08/14 02:33:01 AM,C,16.494
08/08/14 02:53:01 AM,C,16.118
08/08/14 03:13:01 AM,C,16.118
08/08/14 03:33:01 AM,C,16.494
08/08/14 03:53:01 AM,C,16.681
08/08/14 04:13:01 AM,C,16.994
08/08/14 04:33:01 AM,C,17.12
08/08/14 04:53:01 AM,C,17.307
08/08/14 05:13:01 AM,C,17.182
08/08/14 05:33:01 AM,C,17.307
08/08/14 05:53:01 AM,C,17.37
08/08/14 06:13:01 AM,C,17.558
08/08/14 06:33:01 AM,C,17.745
08/08/14 06:53:01 AM,C,17.808
08/08/14 07:13:01 AM,C,17.808
08/08/14 07:33:01 AM,C,17.871
08/08/14 07:53:01 AM,C,17.933
08/08/14 08:13:01 AM,C,18.246
08/08/14 08:33:01 AM,C,18.872
08/08/14 08:53:01 AM,C,19.372
08/08/14 09:13:01 AM,C,19.435
08/08/14 09:33:01 AM,C,19.497
08/08/14 09:53:01 AM,C,19.56
08/08/14 10:13:01 AM,C,19.873
08/08/14 10:33:01 AM,C,19.685
08/08/14 10:53:01 AM,C,20.248
08/08/14 11:13:01 AM,C,20.686
08/08/14 11:33:01 AM,C,21.124
08/08/14 11:53:01 AM,C,20.373
08/08/14 12:13:01 PM,C,19.873
08/08/14 12:33:01 PM,C,20.06
08/08/14 12:53:01 PM,C,21.374
08/08/14 01:13:01 PM,C,22.249
08/08/14 01:33:01 PM,C,22.625
08/08/14 01:53:01 PM,C,21.812
08/08/14 02:13:01 PM,C,21.499
08/08/14 02:33:01 PM,C,21.499
08/08/14 02:53:01 PM,C,21.249
08/08/14 03:13:01 PM,C,21.061
08/08/14 03:33:01 PM,C,20.436
08/08/14 03:53:01 PM,C,19.935
08/08/14 04:13:01 PM,C,19.435
08/08/14 04:33:01 PM,C,19.185
08/08/14 04:53:01 PM,C,19.122
08/08/14 05:13:01 PM,C,19.122
08/08/14 05:33:01 PM,C,19.059
08/08/14 05:53:01 PM,C,18.997
08/08/14 06:13:01 PM,C,18.934
08/08/14 06:33:01 PM,C,18.872
08/08/14 06:53:01 PM,C,18.684
08/08/14 07:13:01 PM,C,18.058
08/08/14 07:33:01 PM,C,17.871
08/08/14 07:53:01 PM,C,18.058
08/08/14 08:13:01 PM,C,18.058
08/08/14 08:33:01 PM,C,17.808
08/08/14 08:53:01 PM,C,17.307
08/08/14 09:13:01 PM,C,17.057
08/08/14 09:33:01 PM,C,16.681
08/08/14 09:53:01 PM,C,16.431
08/08/14 10:13:01 PM,C,16.494
08/08/14 10:33:01 PM,C,16.494
08/08/14 10:53:01 PM,C,16.118
08/08/14 11:13:01 PM,C,15.993
08/08/14 11:33:01 PM,C,15.805
08/08/14 11:53:01 PM,C,15.868
09/08/14 12:13:01 AM,C,15.868
09/08/14 12:33:01 AM,C,15.742
09/08/14 12:53:01 AM,C,15.492
09/08/14 01:13:01 AM,C,15.617
09/08/14 01:33:01 AM,C,15.555
09/08/14 01:53:01 AM,C,15.555
09/08/14 02:13:01 AM,C,15.492
09/08/14 02:33:01 AM,C,15.492
09/08/14 02:53:01 AM,C,15.179
09/08/14 03:13:01 AM,C,15.241
09/08/14 03:33:01 AM,C,15.241
09/08/14 03:53:01 AM,C,15.054
09/08/14 04:13:01 AM,C,14.991
09/08/14 04:33:01 AM,C,15.179
09/08/14 04:53:01 AM,C,15.179
09/08/14 05:13:01 AM,C,15.179
09/08/14 05:33:01 AM,C,15.179
09/08/14 05:53:01 AM,C,16.619
09/08/14 06:13:01 AM,C,18.934
09/08/14 06:33:01 AM,C,19.122
09/08/14 06:53:01 AM,C,20.311
09/08/14 07:13:01 AM,C,21.061
09/08/14 07:33:01 AM,C,22.937
09/08/14 07:53:01 AM,C,24.563
09/08/14 08:13:01 AM,C,25.625
09/08/14 08:33:01 AM,C,26.562
09/08/14 08:53:01 AM,C,27.499
09/08/14 09:13:01 AM,C,27.937
09/08/14 09:33:01 AM,C,28.436
09/08/14 09:53:01 AM,C,28.249
09/08/14 10:13:01 AM,C,26.812
09/08/14 10:33:01 AM,C,28.062
09/08/14 10:53:01 AM,C,28.436
09/08/14 11:13:01 AM,C,28.998
09/08/14 11:33:01 AM,C,29.685
09/08/14 11:53:01 AM,C,29.311
09/08/14 12:13:01 PM,C,28.499
09/08/14 12:33:01 PM,C,29.311
09/08/14 12:53:01 PM,C,28.624
09/08/14 01:13:01 PM,C,26.125
09/08/14 01:33:01 PM,C,27.125
09/08/14 01:53:01 PM,C,25.125
09/08/14 02:13:01 PM,C,25.063
09/08/14 02:33:01 PM,C,23.937
09/08/14 02:53:01 PM,C,23.625
09/08/14 03:13:01 PM,C,22.875
09/08/14 03:33:01 PM,C,23.062
09/08/14 03:53:01 PM,C,23.687
09/08/14 04:13:01 PM,C,22.687
09/08/14 04:33:01 PM,C,22.187
09/08/14 04:53:01 PM,C,21.687
09/08/14 05:13:01 PM,C,21.186
09/08/14 05:33:01 PM,C,21.124
09/08/14 05:53:01 PM,C,20.686
09/08/14 06:13:01 PM,C,20.561
09/08/14 06:33:01 PM,C,20.561
09/08/14 06:53:01 PM,C,20.498
09/08/14 07:13:01 PM,C,20.436
09/08/14 07:33:01 PM,C,20.248
09/08/14 07:53:01 PM,C,20.123
09/08/14 08:13:01 PM,C,19.998
09/08/14 08:33:01 PM,C,19.873
09/08/14 08:53:01 PM,C,19.81
09/08/14 09:13:01 PM,C,19.748
09/08/14 09:33:01 PM,C,19.623
09/08/14 09:53:01 PM,C,19.372
09/08/14 10:13:01 PM,C,19.247
09/08/14 10:33:01 PM,C,19.185
09/08/14 10:53:01 PM,C,18.496
09/08/14 11:13:01 PM,C,17.683
09/08/14 11:33:01 PM,C,17.307
09/08/14 11:53:01 PM,C,17.182
10/08/14 12:13:01 AM,C,17.307
10/08/14 12:33:01 AM,C,16.932
10/08/14 12:53:01 AM,C,16.681
10/08/14 01:13:01 AM,C,16.744
10/08/14 01:33:01 AM,C,16.619
10/08/14 01:53:01 AM,C,16.556
10/08/14 02:13:01 AM,C,16.431
10/08/14 02:33:01 AM,C,16.243
10/08/14 02:53:01 AM,C,16.181
10/08/14 03:13:01 AM,C,16.118
10/08/14 03:33:01 AM,C,16.118
10/08/14 03:53:01 AM,C,15.93
10/08/14 04:13:01 AM,C,15.93
10/08/14 04:33:01 AM,C,15.93
10/08/14 04:53:01 AM,C,16.807
10/08/14 05:13:01 AM,C,17.182
10/08/14 05:33:01 AM,C,17.245
10/08/14 05:53:01 AM,C,17.683
10/08/14 06:13:01 AM,C,18.121
10/08/14 06:33:01 AM,C,19.059
10/08/14 06:53:01 AM,C,20.749
10/08/14 07:13:01 AM,C,23.187
10/08/14 07:33:01 AM,C,21.999
10/08/14 07:53:01 AM,C,22.437
10/08/14 08:13:01 AM,C,27.187
10/08/14 08:33:01 AM,C,24.438
10/08/14 08:53:01 AM,C,24.125
10/08/14 09:13:01 AM,C,22.124
10/08/14 09:33:01 AM,C,23.375
10/08/14 09:53:01 AM,C,24.688
10/08/14 10:13:01 AM,C,26
10/08/14 10:33:01 AM,C,26.812
10/08/14 10:53:01 AM,C,28.186
10/08/14 11:13:01 AM,C,27.812
10/08/14 11:33:01 AM,C,29.123
10/08/14 11:53:01 AM,C,29.81
10/08/14 12:13:01 PM,C,28.749
10/08/14 12:33:01 PM,C,26.5
10/08/14 12:53:01 PM,C,26.562
10/08/14 01:13:01 PM,C,29.498
10/08/14 01:33:01 PM,C,30.684
10/08/14 01:53:01 PM,C,29.123
10/08/14 02:13:01 PM,C,29.373
10/08/14 02:33:01 PM,C,27.562
10/08/14 02:53:01 PM,C,26.062
10/08/14 03:13:01 PM,C,25.313
10/08/14 03:33:01 PM,C,24.5
10/08/14 03:53:01 PM,C,24.438
10/08/14 04:13:01 PM,C,23.875
10/08/14 04:33:01 PM,C,23.937
10/08/14 04:53:01 PM,C,22.75
10/08/14 05:13:01 PM,C,21.812
10/08/14 05:33:01 PM,C,21.124
10/08/14 05:53:01 PM,C,20.874
10/08/14 06:13:01 PM,C,20.123
10/08/14 06:33:01 PM,C,19.435
10/08/14 06:53:01 PM,C,19.372
10/08/14 07:13:01 PM,C,18.684
10/08/14 07:33:01 PM,C,19.122
10/08/14 07:53:01 PM,C,18.434
10/08/14 08:13:01 PM,C,18.121
10/08/14 08:33:01 PM,C,17.933
10/08/14 08:53:01 PM,C,17.808
10/08/14 09:13:01 PM,C,17.37
10/08/14 09:33:01 PM,C,17.182
10/08/14 09:53:01 PM,C,17.057
10/08/14 10:13:01 PM,C,17.12
10/08/14 10:33:01 PM,C,16.994
10/08/14 10:53:01 PM,C,17.245
10/08/14 11:13:01 PM,C,18.058
10/08/14 11:33:01 PM,C,18.309
10/08/14 11:53:01 PM,C,17.996
11/08/14 12:13:01 AM,C,17.245
11/08/14 12:33:01 AM,C,16.869
11/08/14 12:53:01 AM,C,16.932
11/08/14 01:13:01 AM,C,16.869
11/08/14 01:33:01 AM,C,16.869
11/08/14 01:53:01 AM,C,16.744
11/08/14 02:13:01 AM,C,16.619
11/08/14 02:33:01 AM,C,16.619
11/08/14 02:53:01 AM,C,16.619
11/08/14 03:13:01 AM,C,16.994
11/08/14 03:33:01 AM,C,17.432
11/08/14 03:53:01 AM,C,17.62
11/08/14 04:13:01 AM,C,17.745
11/08/14 04:33:01 AM,C,17.683
11/08/14 04:53:01 AM,C,17.62
11/08/14 05:13:01 AM,C,17.432
11/08/14 05:33:01 AM,C,17.745
11/08/14 05:53:01 AM,C,17.62
11/08/14 06:13:01 AM,C,18.121
11/08/14 06:33:01 AM,C,21.311
11/08/14 06:53:01 AM,C,24
11/08/14 07:13:01 AM,C,23.25
11/08/14 07:33:01 AM,C,21.186
11/08/14 07:53:01 AM,C,21.562
11/08/14 08:13:01 AM,C,22.562
11/08/14 08:33:01 AM,C,23.125
11/08/14 08:53:01 AM,C,23.5
11/08/14 09:13:01 AM,C,24.813
11/08/14 09:33:01 AM,C,23.812
11/08/14 09:53:01 AM,C,26.062
11/08/14 10:13:01 AM,C,28.561
11/08/14 10:33:01 AM,C,28.124
11/08/14 10:53:01 AM,C,26.75
11/08/14 11:13:01 AM,C,26.625
11/08/14 11:33:01 AM,C,27.874
11/08/14 11:53:01 AM,C,29.311
11/08/14 12:13:01 PM,C,29.81
11/08/14 12:33:01 PM,C,30.809
11/08/14 12:53:01 PM,C,29.81
11/08/14 01:13:01 PM,C,28.998
11/08/14 01:33:01 PM,C,29.81
11/08/14 01:53:01 PM,C,28.998
11/08/14 02:13:01 PM,C,28.686
11/08/14 02:33:01 PM,C,29.311
11/08/14 02:53:01 PM,C,27.999
11/08/14 03:13:01 PM,C,26.812
11/08/14 03:33:01 PM,C,25.125
11/08/14 03:53:01 PM,C,22.812
11/08/14 04:13:01 PM,C,20.623
11/08/14 04:33:01 PM,C,20.561
11/08/14 04:53:01 PM,C,20.248
11/08/14 05:13:01 PM,C,20.123
11/08/14 05:33:01 PM,C,20.06
11/08/14 05:53:01 PM,C,19.748
11/08/14 06:13:01 PM,C,19.748
11/08/14 06:33:01 PM,C,19.748
11/08/14 06:53:01 PM,C,19.748
11/08/14 07:13:01 PM,C,19.56
11/08/14 07:33:01 PM,C,19.185
11/08/14 07:53:01 PM,C,19.122
11/08/14 08:13:01 PM,C,19.122
11/08/14 08:33:01 PM,C,18.809
11/08/14 08:53:01 PM,C,18.496
11/08/14 09:13:01 PM,C,18.434
11/08/14 09:33:01 PM,C,18.183
11/08/14 09:53:01 PM,C,18.058
11/08/14 10:13:01 PM,C,17.933
11/08/14 10:33:01 PM,C,17.745
11/08/14 10:53:01 PM,C,17.996
11/08/14 11:13:01 PM,C,17.808
11/08/14 11:33:01 PM,C,18.121
11/08/14 11:53:01 PM,C,17.558
12/08/14 12:13:01 AM,C,17.745
12/08/14 12:33:01 AM,C,18.183
12/08/14 12:53:01 AM,C,17.933
12/08/14 01:13:01 AM,C,17.495
12/08/14 01:33:01 AM,C,18.121
12/08/14 01:53:01 AM,C,18.058
12/08/14 02:13:01 AM,C,17.996
12/08/14 02:33:01 AM,C,17.808
12/08/14 02:53:01 AM,C,17.745
12/08/14 03:13:01 AM,C,17.62
12/08/14 03:33:01 AM,C,17.558
12/08/14 03:53:01 AM,C,17.245
12/08/14 04:13:01 AM,C,17.245
12/08/14 04:33:01 AM,C,16.807
12/08/14 04:53:01 AM,C,16.619
12/08/14 05:13:01 AM,C,16.619
12/08/14 05:33:01 AM,C,16.744
12/08/14 05:53:01 AM,C,16.807
12/08/14 06:13:01 AM,C,16.994
12/08/14 06:33:01 AM,C,17.683
12/08/14 06:53:01 AM,C,18.371
12/08/14 07:13:01 AM,C,18.371
12/08/14 07:33:01 AM,C,18.434
12/08/14 07:53:01 AM,C,18.809
12/08/14 08:13:01 AM,C,19.31
12/08/14 08:33:01 AM,C,19.247
12/08/14 08:53:01 AM,C,19.998
12/08/14 09:13:01 AM,C,20.686
12/08/14 09:33:01 AM,C,20.999
12/08/14 09:53:01 AM,C,23.187
12/08/14 10:13:01 AM,C,24.062
12/08/14 10:33:01 AM,C,24.25
12/08/14 10:53:01 AM,C,23.937
12/08/14 11:13:01 AM,C,24.813
12/08/14 11:33:01 AM,C,24.688
12/08/14 11:53:01 AM,C,25.313
12/08/14 12:13:01 PM,C,25.125
12/08/14 12:33:01 PM,C,25.5
12/08/14 12:53:01 PM,C,23.875
12/08/14 01:13:01 PM,C,24.5
12/08/14 01:33:01 PM,C,23.375
12/08/14 01:53:01 PM,C,23
12/08/14 02:13:01 PM,C,23.375
12/08/14 02:33:01 PM,C,22.687
12/08/14 02:53:01 PM,C,22.312
12/08/14 03:13:01 PM,C,23.437
12/08/14 03:33:01 PM,C,22.75
12/08/14 03:53:01 PM,C,22.374
12/08/14 04:13:01 PM,C,21.874
12/08/14 04:33:01 PM,C,21.374
12/08/14 04:53:01 PM,C,20.811
12/08/14 05:13:01 PM,C,20.686
12/08/14 05:33:01 PM,C,20.561
12/08/14 05:53:01 PM,C,20.06
12/08/14 06:13:01 PM,C,19.623
12/08/14 06:33:01 PM,C,19.748
12/08/14 06:53:01 PM,C,19.247
12/08/14 07:13:01 PM,C,18.809
12/08/14 07:33:01 PM,C,18.309
12/08/14 07:53:01 PM,C,17.871
12/08/14 08:13:01 PM,C,17.62
12/08/14 08:33:01 PM,C,17.432
12/08/14 08:53:01 PM,C,17.37
12/08/14 09:13:01 PM,C,17.057
12/08/14 09:33:01 PM,C,16.807
12/08/14 09:53:01 PM,C,16.807
12/08/14 10:13:01 PM,C,16.431
12/08/14 10:33:01 PM,C,16.181
12/08/14 10:53:01 PM,C,16.306
12/08/14 11:13:01 PM,C,16.243
12/08/14 11:33:01 PM,C,16.619
12/08/14 11:53:01 PM,C,17.495
13/08/14 12:13:01 AM,C,17.683
13/08/14 12:33:01 AM,C,17.933
13/08/14 12:53:01 AM,C,18.058
13/08/14 01:13:01 AM,C,18.121
13/08/14 01:33:01 AM,C,18.246
13/08/14 01:53:01 AM,C,18.121
13/08/14 02:13:01 AM,C,18.121
13/08/14 02:33:01 AM,C,17.871
13/08/14 02:53:01 AM,C,17.62
13/08/14 03:13:01 AM,C,17.871
13/08/14 03:33:01 AM,C,18.183
13/08/14 03:53:01 AM,C,18.183
13/08/14 04:13:01 AM,C,18.309
13/08/14 04:33:01 AM,C,18.183
13/08/14 04:53:01 AM,C,17.245
13/08/14 05:13:01 AM,C,16.368
13/08/14 05:33:01 AM,C,16.181
13/08/14 05:53:01 AM,C,16.556
13/08/14 06:13:01 AM,C,17.37
13/08/14 06:33:01 AM,C,18.872
13/08/14 06:53:01 AM,C,19.873
13/08/14 07:13:01 AM,C,20.811
13/08/14 07:33:01 AM,C,21.436
13/08/14 07:53:01 AM,C,23.812
13/08/14 08:13:01 AM,C,25
13/08/14 08:33:01 AM,C,25.188
13/08/14 08:53:01 AM,C,25.375
13/08/14 09:13:01 AM,C,26.562
13/08/14 09:33:01 AM,C,26.625
13/08/14 09:53:01 AM,C,26.312
13/08/14 10:13:01 AM,C,26.562
13/08/14 10:33:01 AM,C,27.312
13/08/14 10:53:01 AM,C,26.812
13/08/14 11:13:01 AM,C,27.874
13/08/14 11:33:01 AM,C,29.436
13/08/14 11:53:01 AM,C,29.623
13/08/14 12:13:01 PM,C,28.624
13/08/14 12:33:01 PM,C,28.249
13/08/14 12:53:01 PM,C,27.874
13/08/14 01:13:01 PM,C,28.311
13/08/14 01:33:01 PM,C,29.186
13/08/14 01:53:01 PM,C,28.062
13/08/14 02:13:01 PM,C,26.625
13/08/14 02:33:01 PM,C,28.062
13/08/14 02:53:01 PM,C,25
13/08/14 03:13:01 PM,C,23.937
13/08/14 03:33:01 PM,C,23.75
13/08/14 03:53:01 PM,C,24
13/08/14 04:13:01 PM,C,24.125
13/08/14 04:33:01 PM,C,23.812
13/08/14 04:53:01 PM,C,22.437
13/08/14 05:13:01 PM,C,21.624
13/08/14 05:33:01 PM,C,21.436
13/08/14 05:53:01 PM,C,20.999
13/08/14 06:13:01 PM,C,20.06
13/08/14 06:33:01 PM,C,19.56
13/08/14 06:53:01 PM,C,19.059
13/08/14 07:13:01 PM,C,18.872
13/08/14 07:33:01 PM,C,18.434
13/08/14 07:53:01 PM,C,18.121
13/08/14 08:13:01 PM,C,18.121
13/08/14 08:33:01 PM,C,17.745
13/08/14 08:53:01 PM,C,17.933
13/08/14 09:13:01 PM,C,17.745
13/08/14 09:33:01 PM,C,17.307
13/08/14 09:53:01 PM,C,17.182
