1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 29000000337F1D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:20:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 20:40:01 CST 2014
Total Mission Samples:  3872
Total Device Samples:  10763
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 08:40:01 PM,C,16.887
04/08/14 09:00:01 PM,C,16.7
04/08/14 09:20:01 PM,C,16.449
04/08/14 09:40:01 PM,C,16.324
04/08/14 10:00:01 PM,C,16.136
04/08/14 10:20:01 PM,C,16.011
04/08/14 10:40:01 PM,C,15.949
04/08/14 11:00:01 PM,C,15.761
04/08/14 11:20:01 PM,C,15.823
04/08/14 11:40:01 PM,C,15.636
05/08/14 12:00:01 AM,C,15.448
05/08/14 12:20:01 AM,C,15.511
05/08/14 12:40:01 AM,C,15.698
05/08/14 01:00:01 AM,C,15.636
05/08/14 01:20:01 AM,C,15.698
05/08/14 01:40:01 AM,C,15.636
05/08/14 02:00:01 AM,C,15.823
05/08/14 02:20:01 AM,C,15.698
05/08/14 02:40:01 AM,C,15.573
05/08/14 03:00:01 AM,C,15.573
05/08/14 03:20:01 AM,C,15.573
05/08/14 03:40:01 AM,C,15.511
05/08/14 04:00:01 AM,C,15.511
05/08/14 04:20:01 AM,C,15.511
05/08/14 04:40:01 AM,C,15.448
05/08/14 05:00:01 AM,C,15.385
05/08/14 05:20:01 AM,C,15.448
05/08/14 05:40:01 AM,C,15.511
05/08/14 06:00:01 AM,C,16.262
05/08/14 06:20:01 AM,C,18.076
05/08/14 06:40:01 AM,C,18.202
05/08/14 07:00:01 AM,C,19.015
05/08/14 07:20:01 AM,C,20.891
05/08/14 07:40:01 AM,C,21.579
05/08/14 08:00:01 AM,C,22.017
05/08/14 08:20:01 AM,C,22.08
05/08/14 08:40:01 AM,C,22.392
05/08/14 09:00:01 AM,C,22.017
05/08/14 09:20:01 AM,C,22.892
05/08/14 09:40:01 AM,C,24.143
05/08/14 10:00:01 AM,C,25.643
05/08/14 10:20:01 AM,C,27.017
05/08/14 10:40:01 AM,C,27.767
05/08/14 11:00:01 AM,C,26.392
05/08/14 11:20:01 AM,C,26.018
05/08/14 11:40:01 AM,C,28.329
05/08/14 12:00:01 PM,C,29.953
05/08/14 12:20:01 PM,C,28.017
05/08/14 12:40:01 PM,C,28.891
05/08/14 01:00:01 PM,C,30.765
05/08/14 01:20:01 PM,C,30.016
05/08/14 01:40:01 PM,C,26.767
05/08/14 02:00:01 PM,C,26.018
05/08/14 02:20:01 PM,C,26.642
05/08/14 02:40:01 PM,C,29.079
05/08/14 03:00:01 PM,C,29.703
05/08/14 03:20:01 PM,C,30.578
05/08/14 03:40:01 PM,C,28.142
05/08/14 04:00:01 PM,C,24.83
05/08/14 04:20:01 PM,C,22.705
05/08/14 04:40:01 PM,C,21.829
05/08/14 05:00:01 PM,C,21.142
05/08/14 05:20:01 PM,C,20.328
05/08/14 05:40:01 PM,C,19.828
05/08/14 06:00:01 PM,C,19.203
05/08/14 06:20:01 PM,C,19.015
05/08/14 06:40:01 PM,C,18.639
05/08/14 07:00:01 PM,C,18.139
05/08/14 07:20:01 PM,C,17.638
05/08/14 07:40:01 PM,C,17.326
05/08/14 08:00:01 PM,C,16.7
05/08/14 08:20:01 PM,C,16.199
05/08/14 08:40:01 PM,C,16.011
05/08/14 09:00:01 PM,C,16.199
05/08/14 09:20:01 PM,C,15.949
05/08/14 09:40:01 PM,C,16.074
05/08/14 10:00:01 PM,C,15.636
05/08/14 10:20:01 PM,C,15.01
05/08/14 10:40:01 PM,C,14.822
05/08/14 11:00:01 PM,C,14.446
05/08/14 11:20:01 PM,C,14.446
05/08/14 11:40:01 PM,C,14.509
06/08/14 12:00:01 AM,C,14.572
06/08/14 12:20:01 AM,C,14.384
06/08/14 12:40:01 AM,C,14.321
06/08/14 01:00:01 AM,C,14.446
06/08/14 01:20:01 AM,C,14.634
06/08/14 01:40:01 AM,C,15.01
06/08/14 02:00:01 AM,C,14.885
06/08/14 02:20:01 AM,C,14.947
06/08/14 02:40:01 AM,C,15.26
06/08/14 03:00:01 AM,C,15.511
06/08/14 03:20:01 AM,C,15.323
06/08/14 03:40:01 AM,C,15.636
06/08/14 04:00:01 AM,C,15.949
06/08/14 04:20:01 AM,C,16.512
06/08/14 04:40:01 AM,C,16.762
06/08/14 05:00:01 AM,C,16.825
06/08/14 05:20:01 AM,C,17.2
06/08/14 05:40:01 AM,C,17.326
06/08/14 06:00:01 AM,C,17.513
06/08/14 06:20:01 AM,C,17.513
06/08/14 06:40:01 AM,C,17.576
06/08/14 07:00:01 AM,C,17.576
06/08/14 07:20:01 AM,C,17.513
06/08/14 07:40:01 AM,C,17.388
06/08/14 08:00:01 AM,C,17.513
06/08/14 08:20:01 AM,C,18.076
06/08/14 08:40:01 AM,C,18.202
06/08/14 09:00:01 AM,C,19.515
06/08/14 09:20:01 AM,C,19.891
06/08/14 09:40:01 AM,C,21.454
06/08/14 10:00:01 AM,C,22.455
06/08/14 10:20:01 AM,C,22.455
06/08/14 10:40:01 AM,C,23.392
06/08/14 11:00:01 AM,C,25.018
06/08/14 11:20:01 AM,C,26.517
06/08/14 11:40:01 AM,C,27.642
06/08/14 12:00:01 PM,C,26.455
06/08/14 12:20:01 PM,C,25.08
06/08/14 12:40:01 PM,C,24.143
06/08/14 01:00:01 PM,C,23.33
06/08/14 01:20:01 PM,C,23.58
06/08/14 01:40:01 PM,C,27.33
06/08/14 02:00:01 PM,C,26.268
06/08/14 02:20:01 PM,C,24.643
06/08/14 02:40:01 PM,C,26.955
06/08/14 03:00:01 PM,C,25.518
06/08/14 03:20:01 PM,C,25.58
06/08/14 03:40:01 PM,C,24.393
06/08/14 04:00:01 PM,C,23.517
06/08/14 04:20:01 PM,C,23.205
06/08/14 04:40:01 PM,C,22.455
06/08/14 05:00:01 PM,C,21.329
06/08/14 05:20:01 PM,C,20.891
06/08/14 05:40:01 PM,C,20.203
06/08/14 06:00:01 PM,C,19.328
06/08/14 06:20:01 PM,C,19.077
06/08/14 06:40:01 PM,C,19.203
06/08/14 07:00:01 PM,C,18.514
06/08/14 07:20:01 PM,C,18.139
06/08/14 07:40:01 PM,C,18.139
06/08/14 08:00:01 PM,C,17.701
06/08/14 08:20:01 PM,C,17.513
06/08/14 08:40:01 PM,C,17.2
06/08/14 09:00:01 PM,C,16.887
06/08/14 09:20:01 PM,C,16.575
06/08/14 09:40:01 PM,C,16.324
06/08/14 10:00:01 PM,C,16.199
06/08/14 10:20:01 PM,C,16.136
06/08/14 10:40:01 PM,C,15.949
06/08/14 11:00:01 PM,C,15.886
06/08/14 11:20:01 PM,C,15.886
06/08/14 11:40:01 PM,C,16.011
07/08/14 12:00:01 AM,C,16.011
07/08/14 12:20:01 AM,C,16.262
07/08/14 12:40:01 AM,C,16.136
07/08/14 01:00:01 AM,C,15.886
07/08/14 01:20:01 AM,C,15.761
07/08/14 01:40:01 AM,C,15.636
07/08/14 02:00:01 AM,C,15.323
07/08/14 02:20:01 AM,C,15.323
07/08/14 02:40:01 AM,C,15.198
07/08/14 03:00:01 AM,C,14.947
07/08/14 03:20:01 AM,C,15.26
07/08/14 03:40:01 AM,C,14.759
07/08/14 04:00:01 AM,C,14.634
07/08/14 04:20:01 AM,C,14.759
07/08/14 04:40:01 AM,C,14.634
07/08/14 05:00:01 AM,C,14.634
07/08/14 05:20:01 AM,C,14.697
07/08/14 05:40:01 AM,C,14.822
07/08/14 06:00:01 AM,C,15.511
07/08/14 06:20:01 AM,C,16.136
07/08/14 06:40:01 AM,C,16.887
07/08/14 07:00:01 AM,C,17.701
07/08/14 07:20:01 AM,C,19.39
07/08/14 07:40:01 AM,C,20.454
07/08/14 08:00:01 AM,C,21.454
07/08/14 08:20:01 AM,C,23.392
07/08/14 08:40:01 AM,C,24.518
07/08/14 09:00:01 AM,C,24.33
07/08/14 09:20:01 AM,C,24.08
07/08/14 09:40:01 AM,C,24.33
07/08/14 10:00:01 AM,C,25.518
07/08/14 10:20:01 AM,C,26.455
07/08/14 10:40:01 AM,C,27.33
07/08/14 11:00:01 AM,C,28.142
07/08/14 11:20:01 AM,C,27.767
07/08/14 11:40:01 AM,C,30.453
07/08/14 12:00:01 PM,C,29.766
07/08/14 12:20:01 PM,C,29.578
07/08/14 12:40:01 PM,C,29.953
07/08/14 01:00:01 PM,C,28.392
07/08/14 01:20:01 PM,C,29.266
07/08/14 01:40:01 PM,C,28.704
07/08/14 02:00:01 PM,C,27.767
07/08/14 02:20:01 PM,C,27.267
07/08/14 02:40:01 PM,C,30.827
07/08/14 03:00:01 PM,C,27.33
07/08/14 03:20:01 PM,C,29.391
07/08/14 03:40:01 PM,C,27.267
07/08/14 04:00:01 PM,C,25.455
07/08/14 04:20:01 PM,C,25.768
07/08/14 04:40:01 PM,C,23.643
07/08/14 05:00:01 PM,C,23.08
07/08/14 05:20:01 PM,C,21.892
07/08/14 05:40:01 PM,C,20.454
07/08/14 06:00:01 PM,C,19.39
07/08/14 06:20:01 PM,C,18.577
07/08/14 06:40:01 PM,C,18.952
07/08/14 07:00:01 PM,C,19.453
07/08/14 07:20:01 PM,C,18.827
07/08/14 07:40:01 PM,C,18.264
07/08/14 08:00:01 PM,C,18.514
07/08/14 08:20:01 PM,C,18.577
07/08/14 08:40:01 PM,C,18.452
07/08/14 09:00:01 PM,C,18.076
07/08/14 09:20:01 PM,C,17.388
07/08/14 09:40:01 PM,C,17.263
07/08/14 10:00:01 PM,C,17.2
07/08/14 10:20:01 PM,C,17.326
07/08/14 10:40:01 PM,C,17.388
07/08/14 11:00:01 PM,C,17.326
07/08/14 11:20:01 PM,C,17.138
07/08/14 11:40:01 PM,C,16.95
08/08/14 12:00:01 AM,C,16.637
08/08/14 12:20:01 AM,C,16.512
08/08/14 12:40:01 AM,C,16.637
08/08/14 01:00:01 AM,C,16.575
08/08/14 01:20:01 AM,C,16.449
08/08/14 01:40:01 AM,C,16.011
08/08/14 02:00:01 AM,C,15.761
08/08/14 02:20:01 AM,C,15.573
08/08/14 02:40:01 AM,C,15.636
08/08/14 03:00:01 AM,C,15.323
08/08/14 03:20:01 AM,C,15.448
08/08/14 03:40:01 AM,C,15.573
08/08/14 04:00:01 AM,C,15.949
08/08/14 04:20:01 AM,C,16.136
08/08/14 04:40:01 AM,C,16.324
08/08/14 05:00:01 AM,C,16.387
08/08/14 05:20:01 AM,C,16.512
08/08/14 05:40:01 AM,C,16.825
08/08/14 06:00:01 AM,C,16.95
08/08/14 06:20:01 AM,C,17.013
08/08/14 06:40:01 AM,C,17.075
08/08/14 07:00:01 AM,C,17.2
08/08/14 07:20:01 AM,C,17.263
08/08/14 07:40:01 AM,C,17.326
08/08/14 08:00:01 AM,C,17.701
08/08/14 08:20:01 AM,C,17.951
08/08/14 08:40:01 AM,C,18.577
08/08/14 09:00:01 AM,C,19.077
08/08/14 09:20:01 AM,C,19.077
08/08/14 09:40:01 AM,C,19.077
08/08/14 10:00:01 AM,C,19.891
08/08/14 10:20:01 AM,C,19.828
08/08/14 10:40:01 AM,C,19.703
08/08/14 11:00:01 AM,C,20.141
08/08/14 11:20:01 AM,C,20.516
08/08/14 11:40:01 AM,C,20.704
08/08/14 12:00:01 PM,C,19.703
08/08/14 12:20:01 PM,C,19.64
08/08/14 12:40:01 PM,C,19.766
08/08/14 01:00:01 PM,C,21.454
08/08/14 01:20:01 PM,C,22.705
08/08/14 01:40:01 PM,C,21.829
08/08/14 02:00:01 PM,C,20.766
08/08/14 02:20:01 PM,C,20.891
08/08/14 02:40:01 PM,C,21.329
08/08/14 03:00:01 PM,C,20.829
08/08/14 03:20:01 PM,C,20.391
08/08/14 03:40:01 PM,C,19.766
08/08/14 04:00:01 PM,C,19.453
08/08/14 04:20:01 PM,C,19.015
08/08/14 04:40:01 PM,C,18.89
08/08/14 05:00:01 PM,C,18.765
08/08/14 05:20:01 PM,C,18.89
08/08/14 05:40:01 PM,C,18.89
08/08/14 06:00:01 PM,C,18.577
08/08/14 06:20:01 PM,C,18.514
08/08/14 06:40:01 PM,C,18.139
08/08/14 07:00:01 PM,C,17.889
08/08/14 07:20:01 PM,C,17.576
08/08/14 07:40:01 PM,C,17.638
08/08/14 08:00:01 PM,C,17.576
08/08/14 08:20:01 PM,C,17.326
08/08/14 08:40:01 PM,C,17.2
08/08/14 09:00:01 PM,C,16.825
08/08/14 09:20:01 PM,C,16.449
08/08/14 09:40:01 PM,C,16.262
08/08/14 10:00:01 PM,C,16.074
08/08/14 10:20:01 PM,C,15.949
08/08/14 10:40:01 PM,C,15.886
08/08/14 11:00:01 PM,C,15.761
08/08/14 11:20:01 PM,C,15.636
08/08/14 11:40:01 PM,C,15.511
09/08/14 12:00:01 AM,C,15.448
09/08/14 12:20:01 AM,C,15.448
09/08/14 12:40:01 AM,C,15.323
09/08/14 01:00:01 AM,C,15.323
09/08/14 01:20:01 AM,C,15.198
09/08/14 01:40:01 AM,C,15.072
09/08/14 02:00:01 AM,C,15.072
09/08/14 02:20:01 AM,C,14.885
09/08/14 02:40:01 AM,C,14.822
09/08/14 03:00:01 AM,C,14.822
09/08/14 03:20:01 AM,C,14.697
09/08/14 03:40:01 AM,C,14.697
09/08/14 04:00:01 AM,C,14.634
09/08/14 04:20:01 AM,C,14.634
09/08/14 04:40:01 AM,C,14.634
09/08/14 05:00:01 AM,C,14.697
09/08/14 05:20:01 AM,C,14.572
09/08/14 05:40:01 AM,C,14.697
09/08/14 06:00:01 AM,C,15.385
09/08/14 06:20:01 AM,C,16.449
09/08/14 06:40:01 AM,C,17.075
09/08/14 07:00:01 AM,C,17.2
09/08/14 07:20:01 AM,C,19.203
09/08/14 07:40:01 AM,C,19.953
09/08/14 08:00:01 AM,C,20.391
09/08/14 08:20:01 AM,C,21.016
09/08/14 08:40:01 AM,C,21.954
09/08/14 09:00:01 AM,C,21.454
09/08/14 09:20:01 AM,C,22.33
09/08/14 09:40:01 AM,C,24.205
09/08/14 10:00:01 AM,C,24.893
09/08/14 10:20:01 AM,C,25.58
09/08/14 10:40:01 AM,C,26.018
09/08/14 11:00:01 AM,C,27.142
09/08/14 11:20:01 AM,C,28.704
09/08/14 11:40:01 AM,C,31.764
09/08/14 12:00:01 PM,C,32.638
09/08/14 12:20:01 PM,C,32.825
09/08/14 12:40:01 PM,C,34.011
09/08/14 01:00:01 PM,C,30.952
09/08/14 01:20:01 PM,C,27.642
09/08/14 01:40:01 PM,C,26.83
09/08/14 02:00:01 PM,C,25.143
09/08/14 02:20:01 PM,C,24.018
09/08/14 02:40:01 PM,C,23.08
09/08/14 03:00:01 PM,C,23.142
09/08/14 03:20:01 PM,C,23.142
09/08/14 03:40:01 PM,C,23.08
09/08/14 04:00:01 PM,C,23.33
09/08/14 04:20:01 PM,C,23.08
09/08/14 04:40:01 PM,C,22.017
09/08/14 05:00:01 PM,C,21.642
09/08/14 05:20:01 PM,C,21.204
09/08/14 05:40:01 PM,C,20.704
09/08/14 06:00:01 PM,C,20.203
09/08/14 06:20:01 PM,C,20.266
09/08/14 06:40:01 PM,C,20.203
09/08/14 07:00:01 PM,C,20.141
09/08/14 07:20:01 PM,C,20.078
09/08/14 07:40:01 PM,C,19.891
09/08/14 08:00:01 PM,C,19.766
09/08/14 08:20:01 PM,C,19.64
09/08/14 08:40:01 PM,C,19.64
09/08/14 09:00:01 PM,C,19.453
09/08/14 09:20:01 PM,C,19.39
09/08/14 09:40:01 PM,C,19.265
09/08/14 10:00:01 PM,C,19.14
09/08/14 10:20:01 PM,C,18.827
09/08/14 10:40:01 PM,C,18.577
09/08/14 11:00:01 PM,C,18.139
09/08/14 11:20:01 PM,C,17.576
09/08/14 11:40:01 PM,C,16.887
10/08/14 12:00:01 AM,C,16.637
10/08/14 12:20:01 AM,C,16.762
10/08/14 12:40:01 AM,C,16.387
10/08/14 01:00:01 AM,C,16.136
10/08/14 01:20:01 AM,C,16.074
10/08/14 01:40:01 AM,C,16.011
10/08/14 02:00:01 AM,C,15.823
10/08/14 02:20:01 AM,C,15.698
10/08/14 02:40:01 AM,C,15.636
10/08/14 03:00:01 AM,C,15.573
10/08/14 03:20:01 AM,C,15.448
10/08/14 03:40:01 AM,C,15.385
10/08/14 04:00:01 AM,C,15.26
10/08/14 04:20:01 AM,C,15.26
10/08/14 04:40:01 AM,C,15.511
10/08/14 05:00:01 AM,C,16.011
10/08/14 05:20:01 AM,C,16.262
10/08/14 05:40:01 AM,C,16.387
10/08/14 06:00:01 AM,C,16.762
10/08/14 06:20:01 AM,C,17.2
10/08/14 06:40:01 AM,C,18.076
10/08/14 07:00:01 AM,C,19.953
10/08/14 07:20:01 AM,C,20.078
10/08/14 07:40:01 AM,C,20.891
10/08/14 08:00:01 AM,C,21.142
10/08/14 08:20:01 AM,C,21.517
10/08/14 08:40:01 AM,C,21.642
10/08/14 09:00:01 AM,C,22.33
10/08/14 09:20:01 AM,C,22.705
10/08/14 09:40:01 AM,C,23.392
10/08/14 10:00:01 AM,C,24.143
10/08/14 10:20:01 AM,C,25.58
10/08/14 10:40:01 AM,C,26.767
10/08/14 11:00:01 AM,C,28.079
10/08/14 11:20:01 AM,C,27.705
10/08/14 11:40:01 AM,C,30.89
10/08/14 12:00:01 PM,C,32.388
10/08/14 12:20:01 PM,C,31.577
10/08/14 12:40:01 PM,C,28.579
10/08/14 01:00:01 PM,C,27.58
10/08/14 01:20:01 PM,C,28.954
10/08/14 01:40:01 PM,C,29.578
10/08/14 02:00:01 PM,C,29.453
10/08/14 02:20:01 PM,C,29.703
10/08/14 02:40:01 PM,C,27.267
10/08/14 03:00:01 PM,C,26.268
10/08/14 03:20:01 PM,C,24.705
10/08/14 03:40:01 PM,C,24.518
10/08/14 04:00:01 PM,C,23.705
10/08/14 04:20:01 PM,C,23.517
10/08/14 04:40:01 PM,C,23.392
10/08/14 05:00:01 PM,C,22.33
10/08/14 05:20:01 PM,C,21.392
10/08/14 05:40:01 PM,C,20.704
10/08/14 06:00:01 PM,C,20.391
10/08/14 06:20:01 PM,C,19.64
10/08/14 06:40:01 PM,C,19.203
10/08/14 07:00:01 PM,C,18.702
10/08/14 07:20:01 PM,C,18.264
10/08/14 07:40:01 PM,C,17.951
10/08/14 08:00:01 PM,C,17.701
10/08/14 08:20:01 PM,C,17.513
10/08/14 08:40:01 PM,C,17.2
10/08/14 09:00:01 PM,C,16.825
10/08/14 09:20:01 PM,C,16.7
10/08/14 09:40:01 PM,C,16.637
10/08/14 10:00:01 PM,C,16.512
10/08/14 10:20:01 PM,C,16.449
10/08/14 10:40:01 PM,C,16.449
10/08/14 11:00:01 PM,C,16.825
10/08/14 11:20:01 PM,C,17.326
10/08/14 11:40:01 PM,C,17.451
11/08/14 12:00:01 AM,C,17.138
11/08/14 12:20:01 AM,C,17.013
11/08/14 12:40:01 AM,C,16.449
11/08/14 01:00:01 AM,C,16.324
11/08/14 01:20:01 AM,C,16.199
11/08/14 01:40:01 AM,C,16.136
11/08/14 02:00:01 AM,C,16.074
11/08/14 02:20:01 AM,C,15.949
11/08/14 02:40:01 AM,C,16.011
11/08/14 03:00:01 AM,C,16.199
11/08/14 03:20:01 AM,C,16.324
11/08/14 03:40:01 AM,C,16.575
11/08/14 04:00:01 AM,C,16.825
11/08/14 04:20:01 AM,C,17.013
11/08/14 04:40:01 AM,C,17.013
11/08/14 05:00:01 AM,C,17.138
11/08/14 05:20:01 AM,C,17.013
11/08/14 05:40:01 AM,C,16.887
11/08/14 06:00:01 AM,C,16.887
11/08/14 06:20:01 AM,C,17.513
11/08/14 06:40:01 AM,C,20.016
11/08/14 07:00:01 AM,C,20.078
11/08/14 07:20:01 AM,C,20.766
11/08/14 07:40:01 AM,C,20.328
11/08/14 08:00:01 AM,C,20.641
11/08/14 08:20:01 AM,C,21.954
11/08/14 08:40:01 AM,C,22.455
11/08/14 09:00:01 AM,C,23.205
11/08/14 09:20:01 AM,C,23.643
11/08/14 09:40:01 AM,C,23.517
11/08/14 10:00:01 AM,C,24.955
11/08/14 10:20:01 AM,C,27.08
11/08/14 10:40:01 AM,C,27.267
11/08/14 11:00:01 AM,C,27.017
11/08/14 11:20:01 AM,C,26.642
11/08/14 11:40:01 AM,C,28.204
11/08/14 12:00:01 PM,C,30.765
11/08/14 12:20:01 PM,C,31.452
11/08/14 12:40:01 PM,C,32.638
11/08/14 01:00:01 PM,C,31.639
11/08/14 01:20:01 PM,C,28.454
11/08/14 01:40:01 PM,C,28.142
11/08/14 02:00:01 PM,C,28.079
11/08/14 02:20:01 PM,C,28.766
11/08/14 02:40:01 PM,C,31.015
11/08/14 03:00:01 PM,C,29.016
11/08/14 03:20:01 PM,C,27.267
11/08/14 03:40:01 PM,C,25.58
11/08/14 04:00:01 PM,C,22.267
11/08/14 04:20:01 PM,C,20.641
11/08/14 04:40:01 PM,C,20.141
11/08/14 05:00:01 PM,C,20.266
11/08/14 05:20:01 PM,C,19.953
11/08/14 05:40:01 PM,C,19.703
11/08/14 06:00:01 PM,C,19.453
11/08/14 06:20:01 PM,C,19.515
11/08/14 06:40:01 PM,C,19.515
11/08/14 07:00:01 PM,C,19.515
11/08/14 07:20:01 PM,C,19.39
11/08/14 07:40:01 PM,C,18.89
11/08/14 08:00:01 PM,C,19.015
11/08/14 08:20:01 PM,C,18.702
11/08/14 08:40:01 PM,C,18.639
11/08/14 09:00:01 PM,C,18.389
11/08/14 09:20:01 PM,C,18.264
11/08/14 09:40:01 PM,C,18.202
11/08/14 10:00:01 PM,C,17.951
11/08/14 10:20:01 PM,C,17.701
11/08/14 10:40:01 PM,C,17.513
11/08/14 11:00:01 PM,C,17.764
11/08/14 11:20:01 PM,C,17.451
11/08/14 11:40:01 PM,C,17.701
12/08/14 12:00:01 AM,C,17.2
12/08/14 12:20:01 AM,C,17.576
12/08/14 12:40:01 AM,C,17.951
12/08/14 01:00:01 AM,C,17.326
12/08/14 01:20:01 AM,C,17.2
12/08/14 01:40:01 AM,C,17.576
12/08/14 02:00:01 AM,C,17.638
12/08/14 02:20:01 AM,C,17.638
12/08/14 02:40:01 AM,C,17.513
12/08/14 03:00:01 AM,C,17.451
12/08/14 03:20:01 AM,C,17.075
12/08/14 03:40:01 AM,C,17.075
12/08/14 04:00:01 AM,C,17.075
12/08/14 04:20:01 AM,C,16.762
12/08/14 04:40:01 AM,C,16.512
12/08/14 05:00:01 AM,C,16.387
12/08/14 05:20:01 AM,C,16.387
12/08/14 05:40:01 AM,C,16.262
12/08/14 06:00:01 AM,C,16.387
12/08/14 06:20:01 AM,C,16.762
12/08/14 06:40:01 AM,C,17.326
12/08/14 07:00:01 AM,C,17.826
12/08/14 07:20:01 AM,C,18.202
12/08/14 07:40:01 AM,C,18.202
12/08/14 08:00:01 AM,C,18.452
12/08/14 08:20:01 AM,C,19.328
12/08/14 08:40:01 AM,C,19.39
12/08/14 09:00:01 AM,C,19.703
12/08/14 09:20:01 AM,C,20.641
12/08/14 09:40:01 AM,C,20.891
12/08/14 10:00:01 AM,C,22.08
12/08/14 10:20:01 AM,C,23.017
12/08/14 10:40:01 AM,C,23.705
12/08/14 11:00:01 AM,C,23.705
12/08/14 11:20:01 AM,C,23.768
12/08/14 11:40:01 AM,C,24.018
12/08/14 12:00:01 PM,C,24.518
12/08/14 12:20:01 PM,C,24.58
12/08/14 12:40:01 PM,C,25.393
12/08/14 01:00:01 PM,C,23.643
12/08/14 01:20:01 PM,C,24.955
12/08/14 01:40:01 PM,C,23.893
12/08/14 02:00:01 PM,C,23.83
12/08/14 02:20:01 PM,C,24.143
12/08/14 02:40:01 PM,C,22.83
12/08/14 03:00:01 PM,C,22.392
12/08/14 03:20:01 PM,C,22.955
12/08/14 03:40:01 PM,C,22.267
12/08/14 04:00:01 PM,C,22.08
12/08/14 04:20:01 PM,C,21.267
12/08/14 04:40:01 PM,C,20.954
12/08/14 05:00:01 PM,C,20.266
12/08/14 05:20:01 PM,C,20.016
12/08/14 05:40:01 PM,C,19.828
12/08/14 06:00:01 PM,C,19.39
12/08/14 06:20:01 PM,C,19.14
12/08/14 06:40:01 PM,C,19.14
12/08/14 07:00:01 PM,C,18.702
12/08/14 07:20:01 PM,C,18.327
12/08/14 07:40:01 PM,C,17.951
12/08/14 08:00:01 PM,C,17.451
12/08/14 08:20:01 PM,C,17.2
12/08/14 08:40:01 PM,C,17.138
12/08/14 09:00:01 PM,C,16.762
12/08/14 09:20:01 PM,C,16.637
12/08/14 09:40:01 PM,C,16.449
12/08/14 10:00:01 PM,C,16.387
12/08/14 10:20:01 PM,C,16.199
12/08/14 10:40:01 PM,C,15.949
12/08/14 11:00:01 PM,C,15.886
12/08/14 11:20:01 PM,C,15.949
12/08/14 11:40:01 PM,C,16.387
13/08/14 12:00:01 AM,C,16.825
13/08/14 12:20:01 AM,C,16.887
13/08/14 12:40:01 AM,C,17.2
13/08/14 01:00:01 AM,C,17.326
13/08/14 01:20:01 AM,C,17.451
13/08/14 01:40:01 AM,C,17.576
13/08/14 02:00:01 AM,C,17.451
13/08/14 02:20:01 AM,C,17.451
13/08/14 02:40:01 AM,C,17.138
13/08/14 03:00:01 AM,C,17.2
13/08/14 03:20:01 AM,C,17.388
13/08/14 03:40:01 AM,C,17.513
13/08/14 04:00:01 AM,C,17.576
13/08/14 04:20:01 AM,C,17.576
13/08/14 04:40:01 AM,C,17.451
13/08/14 05:00:01 AM,C,16.762
13/08/14 05:20:01 AM,C,16.199
13/08/14 05:40:01 AM,C,15.949
13/08/14 06:00:01 AM,C,16.074
13/08/14 06:20:01 AM,C,16.825
13/08/14 06:40:01 AM,C,17.638
13/08/14 07:00:01 AM,C,18.514
13/08/14 07:20:01 AM,C,19.515
13/08/14 07:40:01 AM,C,20.516
13/08/14 08:00:01 AM,C,21.892
13/08/14 08:20:01 AM,C,21.579
13/08/14 08:40:01 AM,C,22.142
13/08/14 09:00:01 AM,C,22.517
13/08/14 09:20:01 AM,C,23.33
13/08/14 09:40:01 AM,C,24.83
13/08/14 10:00:01 AM,C,25.643
13/08/14 10:20:01 AM,C,25.705
13/08/14 10:40:01 AM,C,25.83
13/08/14 11:00:01 AM,C,26.58
13/08/14 11:20:01 AM,C,27.892
13/08/14 11:40:01 AM,C,31.327
13/08/14 12:00:01 PM,C,32.326
13/08/14 12:20:01 PM,C,31.015
13/08/14 12:40:01 PM,C,30.952
13/08/14 01:00:01 PM,C,29.391
13/08/14 01:20:01 PM,C,27.392
13/08/14 01:40:01 PM,C,27.33
13/08/14 02:00:01 PM,C,28.204
13/08/14 02:20:01 PM,C,28.704
13/08/14 02:40:01 PM,C,29.141
13/08/14 03:00:01 PM,C,25.705
13/08/14 03:20:01 PM,C,24.018
13/08/14 03:40:01 PM,C,23.58
13/08/14 04:00:01 PM,C,22.83
13/08/14 04:20:01 PM,C,23.142
13/08/14 04:40:01 PM,C,22.392
13/08/14 05:00:01 PM,C,21.454
13/08/14 05:20:01 PM,C,20.829
13/08/14 05:40:01 PM,C,20.579
13/08/14 06:00:01 PM,C,20.016
13/08/14 06:20:01 PM,C,19.515
13/08/14 06:40:01 PM,C,19.015
13/08/14 07:00:01 PM,C,18.514
13/08/14 07:20:01 PM,C,18.076
13/08/14 07:40:01 PM,C,18.202
13/08/14 08:00:01 PM,C,17.826
13/08/14 08:20:01 PM,C,18.139
13/08/14 08:40:01 PM,C,17.451
13/08/14 09:00:01 PM,C,17.138
13/08/14 09:20:01 PM,C,17.013
