1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F50000002BBC0741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Jun 07 11:44:01 CST 2013
Mission Sample Count:  1995
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Fri Jun 07 11:44:01 CST 2013
Total Mission Samples:  1995
Total Device Samples:  9113
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-07-13 11:44:01 AM,C,33.679
06-07-13 12:44:01 PM,C,34.115
06-07-13 01:44:01 PM,C,40.719
06-07-13 02:44:01 PM,C,34.552
06-07-13 03:44:01 PM,C,21.372
06-07-13 04:44:01 PM,C,21.748
06-07-13 05:44:01 PM,C,21.81
06-07-13 06:44:01 PM,C,21.873
06-07-13 07:44:01 PM,C,21.623
06-07-13 08:44:01 PM,C,21.31
06-07-13 09:44:01 PM,C,20.997
06-07-13 10:44:01 PM,C,21.06
06-07-13 11:44:01 PM,C,21.185
06-08-13 12:44:01 AM,C,21.247
06-08-13 01:44:01 AM,C,21.498
06-08-13 02:44:01 AM,C,21.372
06-08-13 03:44:01 AM,C,21.247
06-08-13 04:44:01 AM,C,21.247
06-08-13 05:44:01 AM,C,21.122
06-08-13 06:44:01 AM,C,22.436
06-08-13 07:44:01 AM,C,25.125
06-08-13 08:44:01 AM,C,32.868
06-08-13 09:44:01 AM,C,29.623
06-08-13 10:44:01 AM,C,32.494
06-08-13 11:44:01 AM,C,33.429
06-08-13 12:44:01 PM,C,32.93
06-08-13 01:44:01 PM,C,29.123
06-08-13 02:44:01 PM,C,29.56
06-08-13 03:44:01 PM,C,29.81
06-08-13 04:44:01 PM,C,27.812
06-08-13 05:44:01 PM,C,26.125
06-08-13 06:44:01 PM,C,24.625
06-08-13 07:44:01 PM,C,24
06-08-13 08:44:01 PM,C,24.125
06-08-13 09:44:01 PM,C,22.624
06-08-13 10:44:01 PM,C,22.186
06-08-13 11:44:01 PM,C,22.373
06-09-13 12:44:01 AM,C,21.498
06-09-13 01:44:01 AM,C,21.247
06-09-13 02:44:01 AM,C,21.06
06-09-13 03:44:01 AM,C,20.371
06-09-13 04:44:01 AM,C,19.933
06-09-13 05:44:01 AM,C,19.996
06-09-13 06:44:01 AM,C,22.624
06-09-13 07:44:01 AM,C,25.688
06-09-13 08:44:01 AM,C,30.684
06-09-13 09:44:01 AM,C,33.429
06-09-13 10:44:01 AM,C,34.427
06-09-13 11:44:01 AM,C,33.679
06-09-13 12:44:01 PM,C,35.736
06-09-13 01:44:01 PM,C,35.425
06-09-13 02:44:01 PM,C,34.614
06-09-13 03:44:01 PM,C,30.372
06-09-13 04:44:01 PM,C,28.187
06-09-13 05:44:01 PM,C,26.75
06-09-13 06:44:01 PM,C,25
06-09-13 07:44:01 PM,C,24.312
06-09-13 08:44:01 PM,C,23.749
06-09-13 09:44:01 PM,C,23.499
06-09-13 10:44:01 PM,C,23.749
06-09-13 11:44:01 PM,C,22.686
06-10-13 12:44:01 AM,C,21.685
06-10-13 01:44:01 AM,C,20.747
06-10-13 02:44:01 AM,C,20.496
06-10-13 03:44:01 AM,C,20.121
06-10-13 04:44:01 AM,C,19.996
06-10-13 05:44:01 AM,C,20.496
06-10-13 06:44:01 AM,C,23.437
06-10-13 07:44:01 AM,C,28.374
06-10-13 08:44:01 AM,C,32.618
06-10-13 09:44:01 AM,C,34.614
06-10-13 10:44:01 AM,C,31.62
06-10-13 11:44:01 AM,C,34.302
06-10-13 12:44:01 PM,C,34.863
06-10-13 01:44:01 PM,C,35.113
06-10-13 02:44:01 PM,C,34.552
06-10-13 03:44:01 PM,C,27.812
06-10-13 04:44:01 PM,C,23.249
06-10-13 05:44:01 PM,C,23.312
06-10-13 06:44:01 PM,C,23.312
06-10-13 07:44:01 PM,C,22.248
06-10-13 08:44:01 PM,C,21.873
06-10-13 09:44:01 PM,C,21.372
06-10-13 10:44:01 PM,C,20.809
06-10-13 11:44:01 PM,C,20.309
06-11-13 12:44:01 AM,C,20.371
06-11-13 01:44:01 AM,C,20.058
06-11-13 02:44:01 AM,C,19.557
06-11-13 03:44:01 AM,C,18.994
06-11-13 04:44:01 AM,C,19.119
06-11-13 05:44:01 AM,C,19.056
06-11-13 06:44:01 AM,C,22.686
06-11-13 07:44:01 AM,C,30.622
06-11-13 08:44:01 AM,C,30.934
06-11-13 09:44:01 AM,C,33.367
06-11-13 10:44:01 AM,C,33.866
06-11-13 11:44:01 AM,C,33.991
06-11-13 12:44:01 PM,C,35.487
06-11-13 01:44:01 PM,C,34.801
06-11-13 02:44:01 PM,C,31.87
06-11-13 03:44:01 PM,C,29.81
06-11-13 04:44:01 PM,C,27.749
06-11-13 05:44:01 PM,C,24.437
06-11-13 06:44:01 PM,C,23.562
06-11-13 07:44:01 PM,C,22.686
06-11-13 08:44:01 PM,C,22.874
06-11-13 09:44:01 PM,C,22.311
06-11-13 10:44:01 PM,C,22.186
06-11-13 11:44:01 PM,C,21.873
06-12-13 12:44:01 AM,C,21.936
06-12-13 01:44:01 AM,C,21.81
06-12-13 02:44:01 AM,C,21.56
06-12-13 03:44:01 AM,C,21.122
06-12-13 04:44:01 AM,C,21.185
06-12-13 05:44:01 AM,C,21.498
06-12-13 06:44:01 AM,C,22.936
06-12-13 07:44:01 AM,C,28.811
06-12-13 08:44:01 AM,C,32.431
06-12-13 09:44:01 AM,C,33.242
06-12-13 10:44:01 AM,C,31.495
06-12-13 11:44:01 AM,C,34.115
06-12-13 12:44:01 PM,C,32.993
06-12-13 01:44:01 PM,C,33.991
06-12-13 02:44:01 PM,C,33.305
06-12-13 03:44:01 PM,C,29.623
06-12-13 04:44:01 PM,C,28.312
06-12-13 05:44:01 PM,C,26
06-12-13 06:44:01 PM,C,20.058
06-12-13 07:44:01 PM,C,20.121
06-12-13 08:44:01 PM,C,20.058
06-12-13 09:44:01 PM,C,20.121
06-12-13 10:44:01 PM,C,19.933
06-12-13 11:44:01 PM,C,19.495
06-13-13 12:44:01 AM,C,19.37
06-13-13 01:44:01 AM,C,19.056
06-13-13 02:44:01 AM,C,19.056
06-13-13 03:44:01 AM,C,19.37
06-13-13 04:44:01 AM,C,18.994
06-13-13 05:44:01 AM,C,19.62
06-13-13 06:44:01 AM,C,21.81
06-13-13 07:44:01 AM,C,27.937
06-13-13 08:44:01 AM,C,26.625
06-13-13 09:44:01 AM,C,29.935
06-13-13 10:44:01 AM,C,32.868
06-13-13 11:44:01 AM,C,32.307
06-13-13 12:44:01 PM,C,30.31
06-13-13 01:44:01 PM,C,29.997
06-13-13 02:44:01 PM,C,33.18
06-13-13 03:44:01 PM,C,27.937
06-13-13 04:44:01 PM,C,26.187
06-13-13 05:44:01 PM,C,22.373
06-13-13 06:44:01 PM,C,20.684
06-13-13 07:44:01 PM,C,20.747
06-13-13 08:44:01 PM,C,20.246
06-13-13 09:44:01 PM,C,19.745
06-13-13 10:44:01 PM,C,19.62
06-13-13 11:44:01 PM,C,19.182
06-14-13 12:44:01 AM,C,18.743
06-14-13 01:44:01 AM,C,18.493
06-14-13 02:44:01 AM,C,18.18
06-14-13 03:44:01 AM,C,17.867
06-14-13 04:44:01 AM,C,18.117
06-14-13 05:44:01 AM,C,18.618
06-14-13 06:44:01 AM,C,20.309
06-14-13 07:44:01 AM,C,27.687
06-14-13 08:44:01 AM,C,27.125
06-14-13 09:44:01 AM,C,32.494
06-14-13 10:44:01 AM,C,30.497
06-14-13 11:44:01 AM,C,30.372
06-14-13 12:44:01 PM,C,31.183
06-14-13 01:44:01 PM,C,33.242
06-14-13 02:44:01 PM,C,29.061
06-14-13 03:44:01 PM,C,27.187
06-14-13 04:44:01 PM,C,27.5
06-14-13 05:44:01 PM,C,23.812
06-14-13 06:44:01 PM,C,23.062
06-14-13 07:44:01 PM,C,22.561
06-14-13 08:44:01 PM,C,21.81
06-14-13 09:44:01 PM,C,20.434
06-14-13 10:44:01 PM,C,20.246
06-14-13 11:44:01 PM,C,19.808
06-15-13 12:44:01 AM,C,19.87
06-15-13 01:44:01 AM,C,19.495
06-15-13 02:44:01 AM,C,18.869
06-15-13 03:44:01 AM,C,18.618
06-15-13 04:44:01 AM,C,18.368
06-15-13 05:44:01 AM,C,18.743
06-15-13 06:44:01 AM,C,20.371
06-15-13 07:44:01 AM,C,26.75
06-15-13 08:44:01 AM,C,29.123
06-15-13 09:44:01 AM,C,31.371
06-15-13 10:44:01 AM,C,31.059
06-15-13 11:44:01 AM,C,33.055
06-15-13 12:44:01 PM,C,31.745
06-15-13 01:44:01 PM,C,30.247
06-15-13 02:44:01 PM,C,28.999
06-15-13 03:44:01 PM,C,28.999
06-15-13 04:44:01 PM,C,26.937
06-15-13 05:44:01 PM,C,25.375
06-15-13 06:44:01 PM,C,23.937
06-15-13 07:44:01 PM,C,22.749
06-15-13 08:44:01 PM,C,22.436
06-15-13 09:44:01 PM,C,22.499
06-15-13 10:44:01 PM,C,22.311
06-15-13 11:44:01 PM,C,22.373
06-16-13 12:44:01 AM,C,21.998
06-16-13 01:44:01 AM,C,21.56
06-16-13 02:44:01 AM,C,20.872
06-16-13 03:44:01 AM,C,20.559
06-16-13 04:44:01 AM,C,21.122
06-16-13 05:44:01 AM,C,21.06
06-16-13 06:44:01 AM,C,21.498
06-16-13 07:44:01 AM,C,24.375
06-16-13 08:44:01 AM,C,28.436
06-16-13 09:44:01 AM,C,27.125
06-16-13 10:44:01 AM,C,31.683
06-16-13 11:44:01 AM,C,28.499
06-16-13 12:44:01 PM,C,25.813
06-16-13 01:44:01 PM,C,28.374
06-16-13 02:44:01 PM,C,27.25
06-16-13 03:44:01 PM,C,26.062
06-16-13 04:44:01 PM,C,23.749
06-16-13 05:44:01 PM,C,23.749
06-16-13 06:44:01 PM,C,22.123
06-16-13 07:44:01 PM,C,22.061
06-16-13 08:44:01 PM,C,22.186
06-16-13 09:44:01 PM,C,21.936
06-16-13 10:44:01 PM,C,21.81
06-16-13 11:44:01 PM,C,21.748
06-17-13 12:44:01 AM,C,22.061
06-17-13 01:44:01 AM,C,20.747
06-17-13 02:44:01 AM,C,20.434
06-17-13 03:44:01 AM,C,20.496
06-17-13 04:44:01 AM,C,20.621
06-17-13 05:44:01 AM,C,20.684
06-17-13 06:44:01 AM,C,21.122
06-17-13 07:44:01 AM,C,21.435
06-17-13 08:44:01 AM,C,22.686
06-17-13 09:44:01 AM,C,24.25
06-17-13 10:44:01 AM,C,25.625
06-17-13 11:44:01 AM,C,27.999
06-17-13 12:44:01 PM,C,26.875
06-17-13 01:44:01 PM,C,27.562
06-17-13 02:44:01 PM,C,25.187
06-17-13 03:44:01 PM,C,22.311
06-17-13 04:44:01 PM,C,22.749
06-17-13 05:44:01 PM,C,22.499
06-17-13 06:44:01 PM,C,22.061
06-17-13 07:44:01 PM,C,21.623
06-17-13 08:44:01 PM,C,21.623
06-17-13 09:44:01 PM,C,21.498
06-17-13 10:44:01 PM,C,21.685
06-17-13 11:44:01 PM,C,21.498
06-18-13 12:44:01 AM,C,21.56
06-18-13 01:44:01 AM,C,21.435
06-18-13 02:44:01 AM,C,21.185
06-18-13 03:44:01 AM,C,20.559
06-18-13 04:44:01 AM,C,20.496
06-18-13 05:44:01 AM,C,20.872
06-18-13 06:44:01 AM,C,21.936
06-18-13 07:44:01 AM,C,23.812
06-18-13 08:44:01 AM,C,25.875
06-18-13 09:44:01 AM,C,27.062
06-18-13 10:44:01 AM,C,32.182
06-18-13 11:44:01 AM,C,31.995
06-18-13 12:44:01 PM,C,30.122
06-18-13 01:44:01 PM,C,30.934
06-18-13 02:44:01 PM,C,33.866
06-18-13 03:44:01 PM,C,27.999
06-18-13 04:44:01 PM,C,26.062
06-18-13 05:44:01 PM,C,25.437
06-18-13 06:44:01 PM,C,24.312
06-18-13 07:44:01 PM,C,23.499
06-18-13 08:44:01 PM,C,23.187
06-18-13 09:44:01 PM,C,21.998
06-18-13 10:44:01 PM,C,21.56
06-18-13 11:44:01 PM,C,21.623
06-19-13 12:44:01 AM,C,21.122
06-19-13 01:44:01 AM,C,20.997
06-19-13 02:44:01 AM,C,20.621
06-19-13 03:44:01 AM,C,20.183
06-19-13 04:44:01 AM,C,19.87
06-19-13 05:44:01 AM,C,20.434
06-19-13 06:44:01 AM,C,21.748
06-19-13 07:44:01 AM,C,26.687
06-19-13 08:44:01 AM,C,30.31
06-19-13 09:44:01 AM,C,27.999
06-19-13 10:44:01 AM,C,28.187
06-19-13 11:44:01 AM,C,30.622
06-19-13 12:44:01 PM,C,26.5
06-19-13 01:44:01 PM,C,30.247
06-19-13 02:44:01 PM,C,32.868
06-19-13 03:44:01 PM,C,23.249
06-19-13 04:44:01 PM,C,23.374
06-19-13 05:44:01 PM,C,22.624
06-19-13 06:44:01 PM,C,22.186
06-19-13 07:44:01 PM,C,22.311
06-19-13 08:44:01 PM,C,22.186
06-19-13 09:44:01 PM,C,22.061
06-19-13 10:44:01 PM,C,21.685
06-19-13 11:44:01 PM,C,21.31
06-20-13 12:44:01 AM,C,21.435
06-20-13 01:44:01 AM,C,20.997
06-20-13 02:44:01 AM,C,21.31
06-20-13 03:44:01 AM,C,21.498
06-20-13 04:44:01 AM,C,21.372
06-20-13 05:44:01 AM,C,21.435
06-20-13 06:44:01 AM,C,22.561
06-20-13 07:44:01 AM,C,25.813
06-20-13 08:44:01 AM,C,27.25
06-20-13 09:44:01 AM,C,29.311
06-20-13 10:44:01 AM,C,32.681
06-20-13 11:44:01 AM,C,28.436
06-20-13 12:44:01 PM,C,29.311
06-20-13 01:44:01 PM,C,31.807
06-20-13 02:44:01 PM,C,28.499
06-20-13 03:44:01 PM,C,28.686
06-20-13 04:44:01 PM,C,23.875
06-20-13 05:44:01 PM,C,23.437
06-20-13 06:44:01 PM,C,23.249
06-20-13 07:44:01 PM,C,21.685
06-20-13 08:44:01 PM,C,21.685
06-20-13 09:44:01 PM,C,21.56
06-20-13 10:44:01 PM,C,21.31
06-20-13 11:44:01 PM,C,21.31
06-21-13 12:44:01 AM,C,21.185
06-21-13 01:44:01 AM,C,21.498
06-21-13 02:44:01 AM,C,21.56
06-21-13 03:44:01 AM,C,21.498
06-21-13 04:44:01 AM,C,21.247
06-21-13 05:44:01 AM,C,21.498
06-21-13 06:44:01 AM,C,23.187
06-21-13 07:44:01 AM,C,24.25
06-21-13 08:44:01 AM,C,27.25
06-21-13 09:44:01 AM,C,28.561
06-21-13 10:44:01 AM,C,30.871
06-21-13 11:44:01 AM,C,30.559
06-21-13 12:44:01 PM,C,29.436
06-21-13 01:44:01 PM,C,33.554
06-21-13 02:44:01 PM,C,28.686
06-21-13 03:44:01 PM,C,22.749
06-21-13 04:44:01 PM,C,21.623
06-21-13 05:44:01 PM,C,21.372
06-21-13 06:44:01 PM,C,21.372
06-21-13 07:44:01 PM,C,21.31
06-21-13 08:44:01 PM,C,21.247
06-21-13 09:44:01 PM,C,21.122
06-21-13 10:44:01 PM,C,21.06
06-21-13 11:44:01 PM,C,20.934
06-22-13 12:44:01 AM,C,20.934
06-22-13 01:44:01 AM,C,21.122
06-22-13 02:44:01 AM,C,20.809
06-22-13 03:44:01 AM,C,20.747
06-22-13 04:44:01 AM,C,20.872
06-22-13 05:44:01 AM,C,20.997
06-22-13 06:44:01 AM,C,21.623
06-22-13 07:44:01 AM,C,22.686
06-22-13 08:44:01 AM,C,24.375
06-22-13 09:44:01 AM,C,25.875
06-22-13 10:44:01 AM,C,28.124
06-22-13 11:44:01 AM,C,29.748
06-22-13 12:44:01 PM,C,30.622
06-22-13 01:44:01 PM,C,30.809
06-22-13 02:44:01 PM,C,27.999
06-22-13 03:44:01 PM,C,28.749
06-22-13 04:44:01 PM,C,28.312
06-22-13 05:44:01 PM,C,25.625
06-22-13 06:44:01 PM,C,23.812
06-22-13 07:44:01 PM,C,23.312
06-22-13 08:44:01 PM,C,23.249
06-22-13 09:44:01 PM,C,21.873
06-22-13 10:44:01 PM,C,21.685
06-22-13 11:44:01 PM,C,21.748
06-23-13 12:44:01 AM,C,21.31
06-23-13 01:44:01 AM,C,20.997
06-23-13 02:44:01 AM,C,20.496
06-23-13 03:44:01 AM,C,20.246
06-23-13 04:44:01 AM,C,20.058
06-23-13 05:44:01 AM,C,20.309
06-23-13 06:44:01 AM,C,22.686
06-23-13 07:44:01 AM,C,25.312
06-23-13 08:44:01 AM,C,30.06
06-23-13 09:44:01 AM,C,33.429
06-23-13 10:44:01 AM,C,33.305
06-23-13 11:44:01 AM,C,35.487
06-23-13 12:44:01 PM,C,33.991
06-23-13 01:44:01 PM,C,32.868
06-23-13 02:44:01 PM,C,33.679
06-23-13 03:44:01 PM,C,29.81
06-23-13 04:44:01 PM,C,27.625
06-23-13 05:44:01 PM,C,25.875
06-23-13 06:44:01 PM,C,24.312
06-23-13 07:44:01 PM,C,23.499
06-23-13 08:44:01 PM,C,22.436
06-23-13 09:44:01 PM,C,21.998
06-23-13 10:44:01 PM,C,22.123
06-23-13 11:44:01 PM,C,21.06
06-24-13 12:44:01 AM,C,20.309
06-24-13 01:44:01 AM,C,20.121
06-24-13 02:44:01 AM,C,19.244
06-24-13 03:44:01 AM,C,19.119
06-24-13 04:44:01 AM,C,19.495
06-24-13 05:44:01 AM,C,19.37
06-24-13 06:44:01 AM,C,20.747
06-24-13 07:44:01 AM,C,26.125
06-24-13 08:44:01 AM,C,30.247
06-24-13 09:44:01 AM,C,32.93
06-24-13 10:44:01 AM,C,30.122
06-24-13 11:44:01 AM,C,30.06
06-24-13 12:44:01 PM,C,30.871
06-24-13 01:44:01 PM,C,28.811
06-24-13 02:44:01 PM,C,28.436
06-24-13 03:44:01 PM,C,26.75
06-24-13 04:44:01 PM,C,25.938
06-24-13 05:44:01 PM,C,24.25
06-24-13 06:44:01 PM,C,19.37
06-24-13 07:44:01 PM,C,19.683
06-24-13 08:44:01 PM,C,19.745
06-24-13 09:44:01 PM,C,19.745
06-24-13 10:44:01 PM,C,19.87
06-24-13 11:44:01 PM,C,19.808
06-25-13 12:44:01 AM,C,19.495
06-25-13 01:44:01 AM,C,19.307
06-25-13 02:44:01 AM,C,19.62
06-25-13 03:44:01 AM,C,19.683
06-25-13 04:44:01 AM,C,19.37
06-25-13 05:44:01 AM,C,19.307
06-25-13 06:44:01 AM,C,20.183
06-25-13 07:44:01 AM,C,21.498
06-25-13 08:44:01 AM,C,26.687
06-25-13 09:44:01 AM,C,28.062
06-25-13 10:44:01 AM,C,30.622
06-25-13 11:44:01 AM,C,32.369
06-25-13 12:44:01 PM,C,31.745
06-25-13 01:44:01 PM,C,32.431
06-25-13 02:44:01 PM,C,32.244
06-25-13 03:44:01 PM,C,28.374
06-25-13 04:44:01 PM,C,26.687
06-25-13 05:44:01 PM,C,25.062
06-25-13 06:44:01 PM,C,24
06-25-13 07:44:01 PM,C,22.186
06-25-13 08:44:01 PM,C,20.058
06-25-13 09:44:01 PM,C,20.246
06-25-13 10:44:01 PM,C,19.933
06-25-13 11:44:01 PM,C,19.808
06-26-13 12:44:01 AM,C,20.058
06-26-13 01:44:01 AM,C,20.058
06-26-13 02:44:01 AM,C,19.808
06-26-13 03:44:01 AM,C,19.62
06-26-13 04:44:01 AM,C,19.37
06-26-13 05:44:01 AM,C,18.931
06-26-13 06:44:01 AM,C,21.122
06-26-13 07:44:01 AM,C,26.875
06-26-13 08:44:01 AM,C,26.187
06-26-13 09:44:01 AM,C,30.934
06-26-13 10:44:01 AM,C,32.556
06-26-13 11:44:01 AM,C,32.307
06-26-13 12:44:01 PM,C,31.059
06-26-13 01:44:01 PM,C,32.993
06-26-13 02:44:01 PM,C,32.057
06-26-13 03:44:01 PM,C,27.437
06-26-13 04:44:01 PM,C,26.687
06-26-13 05:44:01 PM,C,25.062
06-26-13 06:44:01 PM,C,23.562
06-26-13 07:44:01 PM,C,23.062
06-26-13 08:44:01 PM,C,22.499
06-26-13 09:44:01 PM,C,22.874
06-26-13 10:44:01 PM,C,21.247
06-26-13 11:44:01 PM,C,20.496
06-27-13 12:44:01 AM,C,20.809
06-27-13 01:44:01 AM,C,20.434
06-27-13 02:44:01 AM,C,20.434
06-27-13 03:44:01 AM,C,19.87
06-27-13 04:44:01 AM,C,19.495
06-27-13 05:44:01 AM,C,19.307
06-27-13 06:44:01 AM,C,21.685
06-27-13 07:44:01 AM,C,28.436
06-27-13 08:44:01 AM,C,30.809
06-27-13 09:44:01 AM,C,31.433
06-27-13 10:44:01 AM,C,32.93
06-27-13 11:44:01 AM,C,32.494
06-27-13 12:44:01 PM,C,34.053
06-27-13 01:44:01 PM,C,32.494
06-27-13 02:44:01 PM,C,32.556
06-27-13 03:44:01 PM,C,27.25
06-27-13 04:44:01 PM,C,26.187
06-27-13 05:44:01 PM,C,25.312
06-27-13 06:44:01 PM,C,24.5
06-27-13 07:44:01 PM,C,24
06-27-13 08:44:01 PM,C,23.749
06-27-13 09:44:01 PM,C,23.249
06-27-13 10:44:01 PM,C,22.311
06-27-13 11:44:01 PM,C,22.186
06-28-13 12:44:01 AM,C,22.123
06-28-13 01:44:01 AM,C,22.061
06-28-13 02:44:01 AM,C,21.81
06-28-13 03:44:01 AM,C,21.56
06-28-13 04:44:01 AM,C,20.997
06-28-13 05:44:01 AM,C,21.185
06-28-13 06:44:01 AM,C,22.311
06-28-13 07:44:01 AM,C,22.123
06-28-13 08:44:01 AM,C,26.062
06-28-13 09:44:01 AM,C,27.625
06-28-13 10:44:01 AM,C,31.62
06-28-13 11:44:01 AM,C,33.554
06-28-13 12:44:01 PM,C,33.616
06-28-13 01:44:01 PM,C,32.806
06-28-13 02:44:01 PM,C,32.868
06-28-13 03:44:01 PM,C,28.249
06-28-13 04:44:01 PM,C,26.812
06-28-13 05:44:01 PM,C,25.563
06-28-13 06:44:01 PM,C,24.25
06-28-13 07:44:01 PM,C,23.374
06-28-13 08:44:01 PM,C,23.812
06-28-13 09:44:01 PM,C,20.496
06-28-13 10:44:01 PM,C,19.933
06-28-13 11:44:01 PM,C,19.996
06-29-13 12:44:01 AM,C,20.058
06-29-13 01:44:01 AM,C,19.933
06-29-13 02:44:01 AM,C,19.87
06-29-13 03:44:01 AM,C,19.745
06-29-13 04:44:01 AM,C,19.745
06-29-13 05:44:01 AM,C,19.495
06-29-13 06:44:01 AM,C,20.309
06-29-13 07:44:01 AM,C,21.873
06-29-13 08:44:01 AM,C,23.749
06-29-13 09:44:01 AM,C,29.311
06-29-13 10:44:01 AM,C,29.623
06-29-13 11:44:01 AM,C,31.62
06-29-13 12:44:01 PM,C,32.806
06-29-13 01:44:01 PM,C,33.242
06-29-13 02:44:01 PM,C,32.618
06-29-13 03:44:01 PM,C,26.5
06-29-13 04:44:01 PM,C,25.813
06-29-13 05:44:01 PM,C,23.875
06-29-13 06:44:01 PM,C,22.686
06-29-13 07:44:01 PM,C,22.186
06-29-13 08:44:01 PM,C,21.81
06-29-13 09:44:01 PM,C,21.873
06-29-13 10:44:01 PM,C,21.31
06-29-13 11:44:01 PM,C,21.122
06-30-13 12:44:01 AM,C,20.872
06-30-13 01:44:01 AM,C,20.747
06-30-13 02:44:01 AM,C,20.309
06-30-13 03:44:01 AM,C,20.559
06-30-13 04:44:01 AM,C,20.434
06-30-13 05:44:01 AM,C,20.621
06-30-13 06:44:01 AM,C,21.56
06-30-13 07:44:01 AM,C,23.374
06-30-13 08:44:01 AM,C,26.375
06-30-13 09:44:01 AM,C,31.87
06-30-13 10:44:01 AM,C,34.178
06-30-13 11:44:01 AM,C,30.247
06-30-13 12:44:01 PM,C,31.183
06-30-13 01:44:01 PM,C,32.806
06-30-13 02:44:01 PM,C,30.747
06-30-13 03:44:01 PM,C,28.686
06-30-13 04:44:01 PM,C,26.75
06-30-13 05:44:01 PM,C,25.375
06-30-13 06:44:01 PM,C,23.437
06-30-13 07:44:01 PM,C,22.686
06-30-13 08:44:01 PM,C,21.623
06-30-13 09:44:01 PM,C,20.934
06-30-13 10:44:01 PM,C,20.434
06-30-13 11:44:01 PM,C,20.371
07-01-13 12:44:01 AM,C,20.496
07-01-13 01:44:01 AM,C,20.371
07-01-13 02:44:01 AM,C,20.371
07-01-13 03:44:01 AM,C,20.371
07-01-13 04:44:01 AM,C,19.933
07-01-13 05:44:01 AM,C,19.683
07-01-13 06:44:01 AM,C,20.997
07-01-13 07:44:01 AM,C,24.687
07-01-13 08:44:01 AM,C,25
07-01-13 09:44:01 AM,C,28.499
07-01-13 10:44:01 AM,C,27.625
07-01-13 11:44:01 AM,C,28.312
07-01-13 12:44:01 PM,C,31.059
07-01-13 01:44:01 PM,C,32.431
07-01-13 02:44:01 PM,C,29.373
07-01-13 03:44:01 PM,C,27.5
07-01-13 04:44:01 PM,C,26.5
07-01-13 05:44:01 PM,C,23.687
07-01-13 06:44:01 PM,C,22.499
07-01-13 07:44:01 PM,C,22.686
07-01-13 08:44:01 PM,C,21.623
07-01-13 09:44:01 PM,C,21.685
07-01-13 10:44:01 PM,C,21.748
07-01-13 11:44:01 PM,C,21.56
07-02-13 12:44:01 AM,C,21.56
07-02-13 01:44:01 AM,C,21.247
07-02-13 02:44:01 AM,C,21.06
07-02-13 03:44:01 AM,C,20.997
07-02-13 04:44:01 AM,C,20.747
07-02-13 05:44:01 AM,C,20.246
07-02-13 06:44:01 AM,C,21.31
07-02-13 07:44:01 AM,C,27.999
07-02-13 08:44:01 AM,C,25.563
07-02-13 09:44:01 AM,C,30.497
07-02-13 10:44:01 AM,C,30.497
07-02-13 11:44:01 AM,C,28.749
07-02-13 12:44:01 PM,C,33.492
07-02-13 01:44:01 PM,C,29.81
07-02-13 02:44:01 PM,C,27.874
07-02-13 03:44:01 PM,C,26.812
07-02-13 04:44:01 PM,C,24.625
07-02-13 05:44:01 PM,C,23.875
07-02-13 06:44:01 PM,C,23.499
07-02-13 07:44:01 PM,C,22.436
07-02-13 08:44:01 PM,C,22.311
07-02-13 09:44:01 PM,C,21.998
07-02-13 10:44:01 PM,C,21.748
07-02-13 11:44:01 PM,C,20.997
07-03-13 12:44:01 AM,C,20.809
07-03-13 01:44:01 AM,C,21.06
07-03-13 02:44:01 AM,C,20.872
07-03-13 03:44:01 AM,C,20.559
07-03-13 04:44:01 AM,C,20.371
07-03-13 05:44:01 AM,C,19.808
07-03-13 06:44:01 AM,C,21.372
07-03-13 07:44:01 AM,C,23.374
07-03-13 08:44:01 AM,C,26
07-03-13 09:44:01 AM,C,29.248
07-03-13 10:44:01 AM,C,31.308
07-03-13 11:44:01 AM,C,29.748
07-03-13 12:44:01 PM,C,29.373
07-03-13 01:44:01 PM,C,29.498
07-03-13 02:44:01 PM,C,29.873
07-03-13 03:44:01 PM,C,28.999
07-03-13 04:44:01 PM,C,27.375
07-03-13 05:44:01 PM,C,25.625
07-03-13 06:44:01 PM,C,24.562
07-03-13 07:44:01 PM,C,22.311
07-03-13 08:44:01 PM,C,20.872
07-03-13 09:44:01 PM,C,20.747
07-03-13 10:44:01 PM,C,20.309
07-03-13 11:44:01 PM,C,19.996
07-04-13 12:44:01 AM,C,19.745
07-04-13 01:44:01 AM,C,19.808
07-04-13 02:44:01 AM,C,19.808
07-04-13 03:44:01 AM,C,19.87
07-04-13 04:44:01 AM,C,19.683
07-04-13 05:44:01 AM,C,19.808
07-04-13 06:44:01 AM,C,20.684
07-04-13 07:44:01 AM,C,22.936
07-04-13 08:44:01 AM,C,26.812
07-04-13 09:44:01 AM,C,27.999
07-04-13 10:44:01 AM,C,29.873
07-04-13 11:44:01 AM,C,32.307
07-04-13 12:44:01 PM,C,32.182
07-04-13 01:44:01 PM,C,31.807
