1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3F0000002BB46641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Jun 04 02:57:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 01:57:01 CST 2013
Total Mission Samples:  2503
Total Device Samples:  9605
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 01:57:01 AM,C,16.707
06-23-13 02:57:01 AM,C,16.331
06-23-13 03:57:01 AM,C,16.519
06-23-13 04:57:01 AM,C,16.519
06-23-13 05:57:01 AM,C,16.519
06-23-13 06:57:01 AM,C,17.271
06-23-13 07:57:01 AM,C,18.399
06-23-13 08:57:01 AM,C,20.403
06-23-13 09:57:01 AM,C,21.341
06-23-13 10:57:01 AM,C,24.094
06-23-13 11:57:01 AM,C,25.094
06-23-13 12:57:01 PM,C,26.906
06-23-13 01:57:01 PM,C,26.843
06-23-13 02:57:01 PM,C,28.03
06-23-13 03:57:01 PM,C,26.781
06-23-13 04:57:01 PM,C,23.656
06-23-13 05:57:01 PM,C,19.714
06-23-13 06:57:01 PM,C,18.524
06-23-13 07:57:01 PM,C,18.023
06-23-13 08:57:01 PM,C,17.585
06-23-13 09:57:01 PM,C,17.898
06-23-13 10:57:01 PM,C,16.77
06-23-13 11:57:01 PM,C,16.895
06-24-13 12:57:01 AM,C,16.457
06-24-13 01:57:01 AM,C,15.705
06-24-13 02:57:01 AM,C,16.331
06-24-13 03:57:01 AM,C,15.83
06-24-13 04:57:01 AM,C,15.705
06-24-13 05:57:01 AM,C,16.018
06-24-13 06:57:01 AM,C,17.271
06-24-13 07:57:01 AM,C,18.837
06-24-13 08:57:01 AM,C,22.843
06-24-13 09:57:01 AM,C,22.53
06-24-13 10:57:01 AM,C,24.219
06-24-13 11:57:01 AM,C,26.531
06-24-13 12:57:01 PM,C,24.156
06-24-13 01:57:01 PM,C,24.094
06-24-13 02:57:01 PM,C,22.593
06-24-13 03:57:01 PM,C,23.781
06-24-13 04:57:01 PM,C,21.904
06-24-13 05:57:01 PM,C,19.651
06-24-13 06:57:01 PM,C,15.767
06-24-13 07:57:01 PM,C,16.331
06-24-13 08:57:01 PM,C,16.331
06-24-13 09:57:01 PM,C,16.269
06-24-13 10:57:01 PM,C,16.143
06-24-13 11:57:01 PM,C,16.143
06-25-13 12:57:01 AM,C,15.454
06-25-13 01:57:01 AM,C,15.14
06-25-13 02:57:01 AM,C,14.639
06-25-13 03:57:01 AM,C,15.767
06-25-13 04:57:01 AM,C,15.705
06-25-13 05:57:01 AM,C,15.705
06-25-13 06:57:01 AM,C,17.021
06-25-13 07:57:01 AM,C,19.15
06-25-13 08:57:01 AM,C,20.715
06-25-13 09:57:01 AM,C,22.53
06-25-13 10:57:01 AM,C,23.281
06-25-13 11:57:01 AM,C,25.094
06-25-13 12:57:01 PM,C,25.469
06-25-13 01:57:01 PM,C,26.781
06-25-13 02:57:01 PM,C,25.719
06-25-13 03:57:01 PM,C,26.656
06-25-13 04:57:01 PM,C,21.404
06-25-13 05:57:01 PM,C,20.09
06-25-13 06:57:01 PM,C,18.9
06-25-13 07:57:01 PM,C,16.895
06-25-13 08:57:01 PM,C,16.394
06-25-13 09:57:01 PM,C,16.331
06-25-13 10:57:01 PM,C,15.078
06-25-13 11:57:01 PM,C,14.952
06-26-13 12:57:01 AM,C,15.83
06-26-13 01:57:01 AM,C,15.579
06-26-13 02:57:01 AM,C,14.952
06-26-13 03:57:01 AM,C,14.764
06-26-13 04:57:01 AM,C,15.14
06-26-13 05:57:01 AM,C,13.698
06-26-13 06:57:01 AM,C,15.705
06-26-13 07:57:01 AM,C,19.589
06-26-13 08:57:01 AM,C,19.777
06-26-13 09:57:01 AM,C,22.405
06-26-13 10:57:01 AM,C,23.718
06-26-13 11:57:01 AM,C,24.969
06-26-13 12:57:01 PM,C,26.219
06-26-13 01:57:01 PM,C,23.781
06-26-13 02:57:01 PM,C,27.468
06-26-13 03:57:01 PM,C,22.655
06-26-13 04:57:01 PM,C,23.156
06-26-13 05:57:01 PM,C,19.025
06-26-13 06:57:01 PM,C,16.77
06-26-13 07:57:01 PM,C,17.71
06-26-13 08:57:01 PM,C,16.895
06-26-13 09:57:01 PM,C,15.329
06-26-13 10:57:01 PM,C,16.143
06-26-13 11:57:01 PM,C,16.081
06-27-13 12:57:01 AM,C,15.454
06-27-13 01:57:01 AM,C,14.89
06-27-13 02:57:01 AM,C,16.018
06-27-13 03:57:01 AM,C,16.331
06-27-13 04:57:01 AM,C,15.454
06-27-13 05:57:01 AM,C,14.639
06-27-13 06:57:01 AM,C,16.833
06-27-13 07:57:01 AM,C,19.088
06-27-13 08:57:01 AM,C,20.09
06-27-13 09:57:01 AM,C,23.093
06-27-13 10:57:01 AM,C,24.781
06-27-13 11:57:01 AM,C,25.656
06-27-13 12:57:01 PM,C,27.031
06-27-13 01:57:01 PM,C,26.156
06-27-13 02:57:01 PM,C,27.656
06-27-13 03:57:01 PM,C,22.092
06-27-13 04:57:01 PM,C,20.903
06-27-13 05:57:01 PM,C,19.777
06-27-13 06:57:01 PM,C,19.088
06-27-13 07:57:01 PM,C,18.712
06-27-13 08:57:01 PM,C,18.649
06-27-13 09:57:01 PM,C,18.712
06-27-13 10:57:01 PM,C,18.211
06-27-13 11:57:01 PM,C,18.086
06-28-13 12:57:01 AM,C,17.71
06-28-13 01:57:01 AM,C,17.773
06-28-13 02:57:01 AM,C,16.895
06-28-13 03:57:01 AM,C,16.645
06-28-13 04:57:01 AM,C,16.519
06-28-13 05:57:01 AM,C,16.582
06-28-13 06:57:01 AM,C,18.086
06-28-13 07:57:01 AM,C,20.403
06-28-13 08:57:01 AM,C,22.467
06-28-13 09:57:01 AM,C,24.156
06-28-13 10:57:01 AM,C,25.656
06-28-13 11:57:01 AM,C,26.531
06-28-13 12:57:01 PM,C,26.906
06-28-13 01:57:01 PM,C,28.592
06-28-13 02:57:01 PM,C,26.031
06-28-13 03:57:01 PM,C,26.906
06-28-13 04:57:01 PM,C,23.781
06-28-13 05:57:01 PM,C,20.903
06-28-13 06:57:01 PM,C,19.15
06-28-13 07:57:01 PM,C,19.025
06-28-13 08:57:01 PM,C,16.77
06-28-13 09:57:01 PM,C,16.645
06-28-13 10:57:01 PM,C,16.143
06-28-13 11:57:01 PM,C,16.269
06-29-13 12:57:01 AM,C,16.394
06-29-13 01:57:01 AM,C,16.143
06-29-13 02:57:01 AM,C,16.081
06-29-13 03:57:01 AM,C,16.018
06-29-13 04:57:01 AM,C,15.705
06-29-13 05:57:01 AM,C,15.391
06-29-13 06:57:01 AM,C,16.77
06-29-13 07:57:01 AM,C,18.148
06-29-13 08:57:01 AM,C,19.964
06-29-13 09:57:01 AM,C,22.03
