1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1D0000002BDBC641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Mon Jun 03 14:02:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 23 04:02:01 CST 2013
Total Mission Samples:  2518
Total Device Samples:  9643
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
06-23-13 04:02:01 AM,C,22.13
06-23-13 05:02:01 AM,C,22.13
06-23-13 06:02:01 AM,C,22.192
06-23-13 07:02:01 AM,C,22.818
06-23-13 08:02:01 AM,C,23.756
06-23-13 09:02:01 AM,C,25.318
06-23-13 10:02:01 AM,C,26.193
06-23-13 11:02:01 AM,C,26.443
06-23-13 12:02:01 PM,C,27.568
06-23-13 01:02:01 PM,C,28.38
06-23-13 02:02:01 PM,C,28.818
06-23-13 03:02:01 PM,C,29.255
06-23-13 04:02:01 PM,C,28.38
06-23-13 05:02:01 PM,C,27.381
06-23-13 06:02:01 PM,C,26.443
06-23-13 07:02:01 PM,C,25.693
06-23-13 08:02:01 PM,C,25.193
06-23-13 09:02:01 PM,C,24.943
06-23-13 10:02:01 PM,C,24.568
06-23-13 11:02:01 PM,C,24.131
06-24-13 12:02:01 AM,C,23.506
06-24-13 01:02:01 AM,C,22.755
06-24-13 02:02:01 AM,C,22.443
06-24-13 03:02:01 AM,C,21.88
06-24-13 04:02:01 AM,C,21.692
06-24-13 05:02:01 AM,C,21.567
06-24-13 06:02:01 AM,C,21.442
06-24-13 07:02:01 AM,C,21.942
06-24-13 08:02:01 AM,C,23.193
06-24-13 09:02:01 AM,C,24.756
06-24-13 10:02:01 AM,C,25.693
06-24-13 11:02:01 AM,C,26.631
06-24-13 12:02:01 PM,C,26.818
06-24-13 01:02:01 PM,C,26.006
06-24-13 02:02:01 PM,C,26.068
06-24-13 03:02:01 PM,C,26.568
06-24-13 04:02:01 PM,C,26.256
06-24-13 05:02:01 PM,C,25.318
06-24-13 06:02:01 PM,C,24.506
06-24-13 07:02:01 PM,C,23.443
06-24-13 08:02:01 PM,C,22.88
06-24-13 09:02:01 PM,C,22.505
06-24-13 10:02:01 PM,C,22.443
06-24-13 11:02:01 PM,C,22.505
06-25-13 12:02:01 AM,C,22.13
06-25-13 01:02:01 AM,C,21.817
06-25-13 02:02:01 AM,C,21.755
06-25-13 03:02:01 AM,C,21.692
06-25-13 04:02:01 AM,C,21.317
06-25-13 05:02:01 AM,C,21.38
06-25-13 06:02:01 AM,C,21.442
06-25-13 07:02:01 AM,C,21.942
06-25-13 08:02:01 AM,C,22.38
06-25-13 09:02:01 AM,C,23.193
06-25-13 10:02:01 AM,C,24.818
06-25-13 11:02:01 AM,C,26.068
06-25-13 12:02:01 PM,C,26.506
06-25-13 01:02:01 PM,C,27.381
06-25-13 02:02:01 PM,C,27.068
06-25-13 03:02:01 PM,C,27.381
06-25-13 04:02:01 PM,C,26.943
06-25-13 05:02:01 PM,C,26.006
06-25-13 06:02:01 PM,C,25.381
06-25-13 07:02:01 PM,C,24.881
06-25-13 08:02:01 PM,C,23.443
06-25-13 09:02:01 PM,C,23.38
06-25-13 10:02:01 PM,C,23.38
06-25-13 11:02:01 PM,C,22.693
06-26-13 12:02:01 AM,C,22.693
06-26-13 01:02:01 AM,C,22.38
06-26-13 02:02:01 AM,C,22.318
06-26-13 03:02:01 AM,C,22.067
06-26-13 04:02:01 AM,C,21.755
06-26-13 05:02:01 AM,C,21.442
06-26-13 06:02:01 AM,C,20.942
06-26-13 07:02:01 AM,C,21.88
06-26-13 08:02:01 AM,C,23.068
06-26-13 09:02:01 AM,C,23.881
06-26-13 10:02:01 AM,C,26.068
06-26-13 11:02:01 AM,C,27.318
06-26-13 12:02:01 PM,C,27.881
06-26-13 01:02:01 PM,C,28.693
06-26-13 02:02:01 PM,C,28.505
06-26-13 03:02:01 PM,C,27.756
06-26-13 04:02:01 PM,C,26.756
06-26-13 05:02:01 PM,C,26.006
06-26-13 06:02:01 PM,C,25.381
06-26-13 07:02:01 PM,C,25.006
06-26-13 08:02:01 PM,C,24.568
06-26-13 09:02:01 PM,C,24.443
06-26-13 10:02:01 PM,C,24.256
06-26-13 11:02:01 PM,C,23.506
06-27-13 12:02:01 AM,C,23.193
06-27-13 01:02:01 AM,C,23.38
06-27-13 02:02:01 AM,C,23.13
06-27-13 03:02:01 AM,C,22.505
06-27-13 04:02:01 AM,C,22.318
06-27-13 05:02:01 AM,C,21.755
06-27-13 06:02:01 AM,C,21.505
06-27-13 07:02:01 AM,C,22.067
06-27-13 08:02:01 AM,C,23.38
06-27-13 09:02:01 AM,C,25.193
06-27-13 10:02:01 AM,C,26.693
06-27-13 11:02:01 AM,C,28.318
06-27-13 12:02:01 PM,C,27.818
06-27-13 01:02:01 PM,C,28.818
06-27-13 02:02:01 PM,C,29.38
06-27-13 03:02:01 PM,C,27.818
06-27-13 04:02:01 PM,C,27.006
06-27-13 05:02:01 PM,C,26.506
