1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D20000002BDD9A41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Wed Oct 09 14:56:01 CST 2013
Mission Sample Count:  2048
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 08 10:56:01 CST 2014
Total Mission Samples:  4228
Total Device Samples:  11345
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
01-08-14 10:56:01 AM,%RH,79.593
01-08-14 11:56:01 AM,%RH,79.862
01-08-14 12:56:01 PM,%RH,79.996
01-08-14 01:56:01 PM,%RH,80.265
01-08-14 02:56:01 PM,%RH,79.323
01-08-14 03:56:01 PM,%RH,81.201
01-08-14 04:56:01 PM,%RH,80.399
01-08-14 05:56:01 PM,%RH,80.8
01-08-14 06:56:01 PM,%RH,80.8
01-08-14 07:56:01 PM,%RH,80.934
01-08-14 08:56:01 PM,%RH,80.934
01-08-14 09:56:01 PM,%RH,80.8
01-08-14 10:56:01 PM,%RH,80.667
01-08-14 11:56:01 PM,%RH,81.201
01-09-14 12:56:01 AM,%RH,81.068
01-09-14 01:56:01 AM,%RH,80.533
01-09-14 02:56:01 AM,%RH,80.399
01-09-14 03:56:01 AM,%RH,81.201
01-09-14 04:56:01 AM,%RH,81.201
01-09-14 05:56:01 AM,%RH,80.934
01-09-14 06:56:01 AM,%RH,82.001
01-09-14 07:56:01 AM,%RH,81.335
01-09-14 08:56:01 AM,%RH,81.201
01-09-14 09:56:01 AM,%RH,80.667
01-09-14 10:56:01 AM,%RH,82.133
01-09-14 11:56:01 AM,%RH,82.001
01-09-14 12:56:01 PM,%RH,82.266
01-09-14 01:56:01 PM,%RH,82.133
01-09-14 02:56:01 PM,%RH,82.531
01-09-14 03:56:01 PM,%RH,82.399
01-09-14 04:56:01 PM,%RH,82.796
01-09-14 05:56:01 PM,%RH,83.852
01-09-14 06:56:01 PM,%RH,82.531
01-09-14 07:56:01 PM,%RH,82.929
01-09-14 08:56:01 PM,%RH,83.193
01-09-14 09:56:01 PM,%RH,83.193
01-09-14 10:56:01 PM,%RH,83.325
01-09-14 11:56:01 PM,%RH,83.061
01-10-14 12:56:01 AM,%RH,83.061
01-10-14 01:56:01 AM,%RH,82.796
01-10-14 02:56:01 AM,%RH,83.72
01-10-14 03:56:01 AM,%RH,82.796
01-10-14 04:56:01 AM,%RH,82.664
01-10-14 05:56:01 AM,%RH,83.193
01-10-14 06:56:01 AM,%RH,83.457
01-10-14 07:56:01 AM,%RH,83.589
01-10-14 08:56:01 AM,%RH,83.193
01-10-14 09:56:01 AM,%RH,83.193
01-10-14 10:56:01 AM,%RH,83.72
01-10-14 11:56:01 AM,%RH,83.325
01-10-14 12:56:01 PM,%RH,83.457
01-10-14 01:56:01 PM,%RH,82.796
01-10-14 02:56:01 PM,%RH,83.061
01-10-14 03:56:01 PM,%RH,82.796
01-10-14 04:56:01 PM,%RH,83.193
01-10-14 05:56:01 PM,%RH,83.193
01-10-14 06:56:01 PM,%RH,83.72
01-10-14 07:56:01 PM,%RH,83.457
01-10-14 08:56:01 PM,%RH,83.589
01-10-14 09:56:01 PM,%RH,83.457
01-10-14 10:56:01 PM,%RH,83.457
01-10-14 11:56:01 PM,%RH,83.325
01-11-14 12:56:01 AM,%RH,83.061
01-11-14 01:56:01 AM,%RH,83.193
01-11-14 02:56:01 AM,%RH,83.72
01-11-14 03:56:01 AM,%RH,83.325
01-11-14 04:56:01 AM,%RH,83.852
01-11-14 05:56:01 AM,%RH,83.193
01-11-14 06:56:01 AM,%RH,83.457
01-11-14 07:56:01 AM,%RH,83.852
01-11-14 08:56:01 AM,%RH,83.72
01-11-14 09:56:01 AM,%RH,83.325
01-11-14 10:56:01 AM,%RH,83.72
01-11-14 11:56:01 AM,%RH,82.664
01-11-14 12:56:01 PM,%RH,83.325
01-11-14 01:56:01 PM,%RH,83.589
01-11-14 02:56:01 PM,%RH,83.589
01-11-14 03:56:01 PM,%RH,82.664
01-11-14 04:56:01 PM,%RH,82.664
01-11-14 05:56:01 PM,%RH,84.115
01-11-14 06:56:01 PM,%RH,83.061
01-11-14 07:56:01 PM,%RH,83.72
01-11-14 08:56:01 PM,%RH,83.325
01-11-14 09:56:01 PM,%RH,84.115
01-11-14 10:56:01 PM,%RH,83.193
01-11-14 11:56:01 PM,%RH,83.193
01-12-14 12:56:01 AM,%RH,83.457
01-12-14 01:56:01 AM,%RH,83.325
01-12-14 02:56:01 AM,%RH,83.589
01-12-14 03:56:01 AM,%RH,83.589
01-12-14 04:56:01 AM,%RH,83.457
01-12-14 05:56:01 AM,%RH,83.061
01-12-14 06:56:01 AM,%RH,82.796
01-12-14 07:56:01 AM,%RH,82.929
01-12-14 08:56:01 AM,%RH,83.061
01-12-14 09:56:01 AM,%RH,82.796
01-12-14 10:56:01 AM,%RH,82.399
01-12-14 11:56:01 AM,%RH,82.929
01-12-14 12:56:01 PM,%RH,82.266
01-12-14 01:56:01 PM,%RH,83.325
01-12-14 02:56:01 PM,%RH,82.929
01-12-14 03:56:01 PM,%RH,83.325
01-12-14 04:56:01 PM,%RH,83.457
01-12-14 05:56:01 PM,%RH,83.061
01-12-14 06:56:01 PM,%RH,83.457
01-12-14 07:56:01 PM,%RH,83.061
01-12-14 08:56:01 PM,%RH,83.852
01-12-14 09:56:01 PM,%RH,83.325
01-12-14 10:56:01 PM,%RH,83.72
01-12-14 11:56:01 PM,%RH,83.457
01-13-14 12:56:01 AM,%RH,82.929
01-13-14 01:56:01 AM,%RH,82.929
01-13-14 02:56:01 AM,%RH,83.061
01-13-14 03:56:01 AM,%RH,83.457
01-13-14 04:56:01 AM,%RH,83.325
01-13-14 05:56:01 AM,%RH,83.325
01-13-14 06:56:01 AM,%RH,83.325
01-13-14 07:56:01 AM,%RH,82.929
01-13-14 08:56:01 AM,%RH,83.061
01-13-14 09:56:01 AM,%RH,83.325
01-13-14 10:56:01 AM,%RH,82.664
01-13-14 11:56:01 AM,%RH,83.325
01-13-14 12:56:01 PM,%RH,82.929
01-13-14 01:56:01 PM,%RH,82.929
01-13-14 02:56:01 PM,%RH,82.664
01-13-14 03:56:01 PM,%RH,82.133
01-13-14 04:56:01 PM,%RH,82.664
01-13-14 05:56:01 PM,%RH,82.531
01-13-14 06:56:01 PM,%RH,82.531
01-13-14 07:56:01 PM,%RH,82.531
01-13-14 08:56:01 PM,%RH,82.133
01-13-14 09:56:01 PM,%RH,82.001
01-13-14 10:56:01 PM,%RH,82.399
01-13-14 11:56:01 PM,%RH,81.468
01-14-14 12:56:01 AM,%RH,81.868
01-14-14 01:56:01 AM,%RH,81.868
01-14-14 02:56:01 AM,%RH,81.735
01-14-14 03:56:01 AM,%RH,81.201
01-14-14 04:56:01 AM,%RH,82.001
01-14-14 05:56:01 AM,%RH,81.868
01-14-14 06:56:01 AM,%RH,86.853
01-14-14 07:56:01 AM,%RH,80.399
01-14-14 08:56:01 AM,%RH,75.097
01-14-14 09:56:01 AM,%RH,77.698
01-14-14 10:56:01 AM,%RH,78.783
01-14-14 11:56:01 AM,%RH,78.918
01-14-14 12:56:01 PM,%RH,79.727
01-14-14 01:56:01 PM,%RH,79.053
01-14-14 02:56:01 PM,%RH,79.323
01-14-14 03:56:01 PM,%RH,63.911
01-14-14 04:56:01 PM,%RH,64.926
01-14-14 05:56:01 PM,%RH,68.229
01-14-14 06:56:01 PM,%RH,69.791
01-14-14 07:56:01 PM,%RH,69.791
01-14-14 08:56:01 PM,%RH,70.215
01-14-14 09:56:01 PM,%RH,71.06
01-14-14 10:56:01 PM,%RH,70.92
01-14-14 11:56:01 PM,%RH,71.762
01-15-14 12:56:01 AM,%RH,71.622
01-15-14 01:56:01 AM,%RH,71.762
01-15-14 02:56:01 AM,%RH,72.042
01-15-14 03:56:01 AM,%RH,72.601
01-15-14 04:56:01 AM,%RH,73.158
01-15-14 05:56:01 AM,%RH,73.019
01-15-14 06:56:01 AM,%RH,73.437
01-15-14 07:56:01 AM,%RH,73.714
01-15-14 08:56:01 AM,%RH,73.158
01-15-14 09:56:01 AM,%RH,74.545
01-15-14 10:56:01 AM,%RH,69.933
01-15-14 11:56:01 AM,%RH,66.656
01-15-14 12:56:01 PM,%RH,65.071
01-15-14 01:56:01 PM,%RH,64.347
01-15-14 02:56:01 PM,%RH,60.098
01-15-14 03:56:01 PM,%RH,62.891
01-15-14 04:56:01 PM,%RH,64.492
01-15-14 05:56:01 PM,%RH,65.793
01-15-14 06:56:01 PM,%RH,65.504
01-15-14 07:56:01 PM,%RH,66.225
01-15-14 08:56:01 PM,%RH,67.086
01-15-14 09:56:01 PM,%RH,68.087
01-15-14 10:56:01 PM,%RH,67.516
01-15-14 11:56:01 PM,%RH,67.086
01-16-14 12:56:01 AM,%RH,65.793
01-16-14 01:56:01 AM,%RH,64.782
01-16-14 02:56:01 AM,%RH,63.474
01-16-14 03:56:01 AM,%RH,63.037
01-16-14 04:56:01 AM,%RH,62.306
01-16-14 05:56:01 AM,%RH,62.159
01-16-14 06:56:01 AM,%RH,62.599
01-16-14 07:56:01 AM,%RH,63.183
01-16-14 08:56:01 AM,%RH,62.306
01-16-14 09:56:01 AM,%RH,63.765
01-16-14 10:56:01 AM,%RH,64.347
01-16-14 11:56:01 AM,%RH,64.201
01-16-14 12:56:01 PM,%RH,63.765
01-16-14 01:56:01 PM,%RH,65.649
01-16-14 02:56:01 PM,%RH,64.347
01-16-14 03:56:01 PM,%RH,66.225
01-16-14 04:56:01 PM,%RH,66.799
01-16-14 05:56:01 PM,%RH,65.937
01-16-14 06:56:01 PM,%RH,66.799
01-16-14 07:56:01 PM,%RH,66.943
01-16-14 08:56:01 PM,%RH,66.799
01-16-14 09:56:01 PM,%RH,66.943
01-16-14 10:56:01 PM,%RH,66.943
01-16-14 11:56:01 PM,%RH,67.086
01-17-14 12:56:01 AM,%RH,65.937
01-17-14 01:56:01 AM,%RH,65.937
01-17-14 02:56:01 AM,%RH,65.504
01-17-14 03:56:01 AM,%RH,65.793
01-17-14 04:56:01 AM,%RH,66.081
01-17-14 05:56:01 AM,%RH,66.081
01-17-14 06:56:01 AM,%RH,66.369
01-17-14 07:56:01 AM,%RH,66.656
01-17-14 08:56:01 AM,%RH,66.943
01-17-14 09:56:01 AM,%RH,65.793
01-17-14 10:56:01 AM,%RH,65.216
01-17-14 11:56:01 AM,%RH,64.492
01-17-14 12:56:01 PM,%RH,65.36
01-17-14 01:56:01 PM,%RH,66.512
01-17-14 02:56:01 PM,%RH,66.943
01-17-14 03:56:01 PM,%RH,68.514
01-17-14 04:56:01 PM,%RH,67.086
01-17-14 05:56:01 PM,%RH,67.373
01-17-14 06:56:01 PM,%RH,68.372
01-17-14 07:56:01 PM,%RH,68.656
01-17-14 08:56:01 PM,%RH,68.799
01-17-14 09:56:01 PM,%RH,69.933
01-17-14 10:56:01 PM,%RH,70.497
01-17-14 11:56:01 PM,%RH,70.92
01-18-14 12:56:01 AM,%RH,71.06
01-18-14 01:56:01 AM,%RH,71.06
01-18-14 02:56:01 AM,%RH,70.92
01-18-14 03:56:01 AM,%RH,70.92
01-18-14 04:56:01 AM,%RH,70.779
01-18-14 05:56:01 AM,%RH,70.779
01-18-14 06:56:01 AM,%RH,71.06
01-18-14 07:56:01 AM,%RH,71.06
01-18-14 08:56:01 AM,%RH,73.298
01-18-14 09:56:01 AM,%RH,73.992
01-18-14 10:56:01 AM,%RH,74.545
01-18-14 11:56:01 AM,%RH,73.019
01-18-14 12:56:01 PM,%RH,71.762
01-18-14 01:56:01 PM,%RH,72.741
01-18-14 02:56:01 PM,%RH,73.019
01-18-14 03:56:01 PM,%RH,73.298
01-18-14 04:56:01 PM,%RH,73.019
01-18-14 05:56:01 PM,%RH,73.575
01-18-14 06:56:01 PM,%RH,73.714
01-18-14 07:56:01 PM,%RH,73.575
01-18-14 08:56:01 PM,%RH,74.683
01-18-14 09:56:01 PM,%RH,74.683
01-18-14 10:56:01 PM,%RH,74.821
01-18-14 11:56:01 PM,%RH,75.235
01-19-14 12:56:01 AM,%RH,74.959
01-19-14 01:56:01 AM,%RH,75.097
01-19-14 02:56:01 AM,%RH,75.922
01-19-14 03:56:01 AM,%RH,75.922
01-19-14 04:56:01 AM,%RH,77.017
01-19-14 05:56:01 AM,%RH,76.744
01-19-14 06:56:01 AM,%RH,76.881
01-19-14 07:56:01 AM,%RH,77.153
01-19-14 08:56:01 AM,%RH,77.426
01-19-14 09:56:01 AM,%RH,75.922
01-19-14 10:56:01 AM,%RH,76.881
01-19-14 11:56:01 AM,%RH,75.51
01-19-14 12:56:01 PM,%RH,75.648
01-19-14 01:56:01 PM,%RH,75.235
01-19-14 02:56:01 PM,%RH,75.373
01-19-14 03:56:01 PM,%RH,75.373
01-19-14 04:56:01 PM,%RH,75.922
01-19-14 05:56:01 PM,%RH,75.785
01-19-14 06:56:01 PM,%RH,75.785
01-19-14 07:56:01 PM,%RH,75.648
01-19-14 08:56:01 PM,%RH,75.235
01-19-14 09:56:01 PM,%RH,75.51
01-19-14 10:56:01 PM,%RH,75.373
01-19-14 11:56:01 PM,%RH,75.785
01-20-14 12:56:01 AM,%RH,75.373
01-20-14 01:56:01 AM,%RH,76.197
01-20-14 02:56:01 AM,%RH,76.607
01-20-14 03:56:01 AM,%RH,76.47
01-20-14 04:56:01 AM,%RH,77.29
01-20-14 05:56:01 AM,%RH,76.881
01-20-14 06:56:01 AM,%RH,77.698
01-20-14 07:56:01 AM,%RH,77.698
01-20-14 08:56:01 AM,%RH,76.059
01-20-14 09:56:01 AM,%RH,75.097
01-20-14 10:56:01 AM,%RH,75.235
01-20-14 11:56:01 AM,%RH,73.437
01-20-14 12:56:01 PM,%RH,70.356
01-20-14 01:56:01 PM,%RH,73.992
01-20-14 02:56:01 PM,%RH,72.462
01-20-14 03:56:01 PM,%RH,72.88
01-20-14 04:56:01 PM,%RH,71.762
01-20-14 05:56:01 PM,%RH,71.902
01-20-14 06:56:01 PM,%RH,71.341
01-20-14 07:56:01 PM,%RH,72.042
01-20-14 08:56:01 PM,%RH,71.06
01-20-14 09:56:01 PM,%RH,71.341
01-20-14 10:56:01 PM,%RH,71.341
01-20-14 11:56:01 PM,%RH,71.482
01-21-14 12:56:01 AM,%RH,72.042
01-21-14 01:56:01 AM,%RH,72.182
01-21-14 02:56:01 AM,%RH,72.042
01-21-14 03:56:01 AM,%RH,72.042
01-21-14 04:56:01 AM,%RH,72.601
01-21-14 05:56:01 AM,%RH,72.601
01-21-14 06:56:01 AM,%RH,72.462
01-21-14 07:56:01 AM,%RH,73.158
01-21-14 08:56:01 AM,%RH,74.407
01-21-14 09:56:01 AM,%RH,73.853
01-21-14 10:56:01 AM,%RH,73.298
01-21-14 11:56:01 AM,%RH,71.762
01-21-14 12:56:01 PM,%RH,70.215
01-21-14 01:56:01 PM,%RH,70.074
01-21-14 02:56:01 PM,%RH,70.779
01-21-14 03:56:01 PM,%RH,71.06
01-21-14 04:56:01 PM,%RH,71.902
01-21-14 05:56:01 PM,%RH,71.482
01-21-14 06:56:01 PM,%RH,71.482
01-21-14 07:56:01 PM,%RH,71.902
01-21-14 08:56:01 PM,%RH,72.182
01-21-14 09:56:01 PM,%RH,73.437
01-21-14 10:56:01 PM,%RH,73.298
01-21-14 11:56:01 PM,%RH,73.158
01-22-14 12:56:01 AM,%RH,71.902
01-22-14 01:56:01 AM,%RH,72.601
01-22-14 02:56:01 AM,%RH,72.601
01-22-14 03:56:01 AM,%RH,71.902
01-22-14 04:56:01 AM,%RH,72.322
01-22-14 05:56:01 AM,%RH,71.902
01-22-14 06:56:01 AM,%RH,71.622
01-22-14 07:56:01 AM,%RH,72.182
01-22-14 08:56:01 AM,%RH,71.341
01-22-14 09:56:01 AM,%RH,73.019
01-22-14 10:56:01 AM,%RH,72.462
01-22-14 11:56:01 AM,%RH,71.06
01-22-14 12:56:01 PM,%RH,70.356
01-22-14 01:56:01 PM,%RH,67.373
01-22-14 02:56:01 PM,%RH,67.659
01-22-14 03:56:01 PM,%RH,70.356
01-22-14 04:56:01 PM,%RH,72.88
01-22-14 05:56:01 PM,%RH,71.341
01-22-14 06:56:01 PM,%RH,68.941
01-22-14 07:56:01 PM,%RH,72.182
01-22-14 08:56:01 PM,%RH,72.322
01-22-14 09:56:01 PM,%RH,73.158
01-22-14 10:56:01 PM,%RH,72.88
01-22-14 11:56:01 PM,%RH,72.741
01-23-14 12:56:01 AM,%RH,72.182
01-23-14 01:56:01 AM,%RH,71.622
01-23-14 02:56:01 AM,%RH,72.182
01-23-14 03:56:01 AM,%RH,72.182
01-23-14 04:56:01 AM,%RH,72.322
01-23-14 05:56:01 AM,%RH,71.902
01-23-14 06:56:01 AM,%RH,72.042
01-23-14 07:56:01 AM,%RH,71.902
01-23-14 08:56:01 AM,%RH,73.853
01-23-14 09:56:01 AM,%RH,71.341
01-23-14 10:56:01 AM,%RH,71.06
01-23-14 11:56:01 AM,%RH,68.799
01-23-14 12:56:01 PM,%RH,64.492
01-23-14 01:56:01 PM,%RH,64.347
01-23-14 02:56:01 PM,%RH,68.799
01-23-14 03:56:01 PM,%RH,70.356
01-23-14 04:56:01 PM,%RH,70.497
01-23-14 05:56:01 PM,%RH,74.821
01-23-14 06:56:01 PM,%RH,74.13
01-23-14 07:56:01 PM,%RH,74.269
01-23-14 08:56:01 PM,%RH,74.13
01-23-14 09:56:01 PM,%RH,74.821
01-23-14 10:56:01 PM,%RH,74.545
01-23-14 11:56:01 PM,%RH,74.821
01-24-14 12:56:01 AM,%RH,74.821
01-24-14 01:56:01 AM,%RH,75.235
01-24-14 02:56:01 AM,%RH,75.51
01-24-14 03:56:01 AM,%RH,76.059
01-24-14 04:56:01 AM,%RH,75.922
01-24-14 05:56:01 AM,%RH,75.51
01-24-14 06:56:01 AM,%RH,76.607
01-24-14 07:56:01 AM,%RH,78.648
01-24-14 08:56:01 AM,%RH,79.593
01-24-14 09:56:01 AM,%RH,78.512
01-24-14 10:56:01 AM,%RH,77.017
01-24-14 11:56:01 AM,%RH,76.47
01-24-14 12:56:01 PM,%RH,75.922
01-24-14 01:56:01 PM,%RH,76.881
01-24-14 02:56:01 PM,%RH,73.158
01-24-14 03:56:01 PM,%RH,73.437
01-24-14 04:56:01 PM,%RH,73.298
01-24-14 05:56:01 PM,%RH,74.269
01-24-14 06:56:01 PM,%RH,74.407
01-24-14 07:56:01 PM,%RH,74.683
01-24-14 08:56:01 PM,%RH,75.235
01-24-14 09:56:01 PM,%RH,77.29
01-24-14 10:56:01 PM,%RH,75.373
01-24-14 11:56:01 PM,%RH,75.785
01-25-14 12:56:01 AM,%RH,75.373
01-25-14 01:56:01 AM,%RH,75.785
01-25-14 02:56:01 AM,%RH,75.51
01-25-14 03:56:01 AM,%RH,76.197
01-25-14 04:56:01 AM,%RH,76.059
01-25-14 05:56:01 AM,%RH,76.334
01-25-14 06:56:01 AM,%RH,76.47
01-25-14 07:56:01 AM,%RH,76.744
01-25-14 08:56:01 AM,%RH,77.426
01-25-14 09:56:01 AM,%RH,77.834
01-25-14 10:56:01 AM,%RH,77.562
01-25-14 11:56:01 AM,%RH,77.698
01-25-14 12:56:01 PM,%RH,75.648
01-25-14 01:56:01 PM,%RH,75.235
01-25-14 02:56:01 PM,%RH,75.235
01-25-14 03:56:01 PM,%RH,75.235
01-25-14 04:56:01 PM,%RH,75.922
01-25-14 05:56:01 PM,%RH,76.334
01-25-14 06:56:01 PM,%RH,76.881
01-25-14 07:56:01 PM,%RH,77.29
01-25-14 08:56:01 PM,%RH,77.017
01-25-14 09:56:01 PM,%RH,76.744
01-25-14 10:56:01 PM,%RH,76.744
01-25-14 11:56:01 PM,%RH,76.47
01-26-14 12:56:01 AM,%RH,76.334
01-26-14 01:56:01 AM,%RH,76.059
01-26-14 02:56:01 AM,%RH,75.648
01-26-14 03:56:01 AM,%RH,75.51
01-26-14 04:56:01 AM,%RH,75.922
01-26-14 05:56:01 AM,%RH,76.059
01-26-14 06:56:01 AM,%RH,75.648
01-26-14 07:56:01 AM,%RH,74.545
01-26-14 08:56:01 AM,%RH,75.51
01-26-14 09:56:01 AM,%RH,75.235
01-26-14 10:56:01 AM,%RH,75.097
01-26-14 11:56:01 AM,%RH,73.158
01-26-14 12:56:01 PM,%RH,72.462
01-26-14 01:56:01 PM,%RH,72.042
01-26-14 02:56:01 PM,%RH,72.042
01-26-14 03:56:01 PM,%RH,71.902
01-26-14 04:56:01 PM,%RH,71.902
01-26-14 05:56:01 PM,%RH,74.13
01-26-14 06:56:01 PM,%RH,73.853
01-26-14 07:56:01 PM,%RH,73.853
01-26-14 08:56:01 PM,%RH,74.683
01-26-14 09:56:01 PM,%RH,74.959
01-26-14 10:56:01 PM,%RH,74.407
01-26-14 11:56:01 PM,%RH,74.545
01-27-14 12:56:01 AM,%RH,74.959
01-27-14 01:56:01 AM,%RH,75.51
01-27-14 02:56:01 AM,%RH,75.097
01-27-14 03:56:01 AM,%RH,75.922
01-27-14 04:56:01 AM,%RH,75.51
01-27-14 05:56:01 AM,%RH,75.235
01-27-14 06:56:01 AM,%RH,76.059
01-27-14 07:56:01 AM,%RH,76.47
01-27-14 08:56:01 AM,%RH,75.922
01-27-14 09:56:01 AM,%RH,75.51
01-27-14 10:56:01 AM,%RH,70.074
01-27-14 11:56:01 AM,%RH,67.801
01-27-14 12:56:01 PM,%RH,67.373
01-27-14 01:56:01 PM,%RH,63.183
01-27-14 02:56:01 PM,%RH,64.201
01-27-14 03:56:01 PM,%RH,65.504
01-27-14 04:56:01 PM,%RH,65.937
01-27-14 05:56:01 PM,%RH,66.512
01-27-14 06:56:01 PM,%RH,68.799
01-27-14 07:56:01 PM,%RH,69.225
01-27-14 08:56:01 PM,%RH,68.514
01-27-14 09:56:01 PM,%RH,68.941
01-27-14 10:56:01 PM,%RH,68.656
01-27-14 11:56:01 PM,%RH,68.941
01-28-14 12:56:01 AM,%RH,68.229
01-28-14 01:56:01 AM,%RH,68.941
01-28-14 02:56:01 AM,%RH,68.941
01-28-14 03:56:01 AM,%RH,69.225
01-28-14 04:56:01 AM,%RH,70.638
01-28-14 05:56:01 AM,%RH,71.201
01-28-14 06:56:01 AM,%RH,70.779
01-28-14 07:56:01 AM,%RH,71.762
01-28-14 08:56:01 AM,%RH,73.019
01-28-14 09:56:01 AM,%RH,73.019
01-28-14 10:56:01 AM,%RH,72.042
01-28-14 11:56:01 AM,%RH,71.622
01-28-14 12:56:01 PM,%RH,69.791
01-28-14 01:56:01 PM,%RH,70.074
01-28-14 02:56:01 PM,%RH,69.366
01-28-14 03:56:01 PM,%RH,68.656
01-28-14 04:56:01 PM,%RH,69.083
01-28-14 05:56:01 PM,%RH,69.65
01-28-14 06:56:01 PM,%RH,70.215
01-28-14 07:56:01 PM,%RH,70.779
01-28-14 08:56:01 PM,%RH,70.779
01-28-14 09:56:01 PM,%RH,70.92
01-28-14 10:56:01 PM,%RH,72.462
01-28-14 11:56:01 PM,%RH,73.158
01-29-14 12:56:01 AM,%RH,73.298
01-29-14 01:56:01 AM,%RH,72.322
01-29-14 02:56:01 AM,%RH,72.462
01-29-14 03:56:01 AM,%RH,71.341
01-29-14 04:56:01 AM,%RH,71.902
01-29-14 05:56:01 AM,%RH,71.762
01-29-14 06:56:01 AM,%RH,72.042
01-29-14 07:56:01 AM,%RH,72.741
01-29-14 08:56:01 AM,%RH,72.462
01-29-14 09:56:01 AM,%RH,72.741
01-29-14 10:56:01 AM,%RH,71.902
01-29-14 11:56:01 AM,%RH,66.656
01-29-14 12:56:01 PM,%RH,62.306
01-29-14 01:56:01 PM,%RH,63.911
01-29-14 02:56:01 PM,%RH,63.474
01-29-14 03:56:01 PM,%RH,64.056
01-29-14 04:56:01 PM,%RH,63.765
01-29-14 05:56:01 PM,%RH,64.056
01-29-14 06:56:01 PM,%RH,65.36
01-29-14 07:56:01 PM,%RH,66.369
01-29-14 08:56:01 PM,%RH,66.799
01-29-14 09:56:01 PM,%RH,67.229
01-29-14 10:56:01 PM,%RH,67.229
01-29-14 11:56:01 PM,%RH,67.086
01-30-14 12:56:01 AM,%RH,67.373
01-30-14 01:56:01 AM,%RH,67.373
01-30-14 02:56:01 AM,%RH,67.659
01-30-14 03:56:01 AM,%RH,67.801
01-30-14 04:56:01 AM,%RH,67.516
01-30-14 05:56:01 AM,%RH,68.656
01-30-14 06:56:01 AM,%RH,68.372
01-30-14 07:56:01 AM,%RH,68.514
01-30-14 08:56:01 AM,%RH,69.933
01-30-14 09:56:01 AM,%RH,69.791
01-30-14 10:56:01 AM,%RH,67.229
01-30-14 11:56:01 AM,%RH,66.656
01-30-14 12:56:01 PM,%RH,66.369
01-30-14 01:56:01 PM,%RH,65.071
01-30-14 02:56:01 PM,%RH,63.62
01-30-14 03:56:01 PM,%RH,62.452
01-30-14 04:56:01 PM,%RH,63.474
01-30-14 05:56:01 PM,%RH,64.637
01-30-14 06:56:01 PM,%RH,64.926
01-30-14 07:56:01 PM,%RH,64.926
01-30-14 08:56:01 PM,%RH,64.637
01-30-14 09:56:01 PM,%RH,64.201
01-30-14 10:56:01 PM,%RH,65.071
01-30-14 11:56:01 PM,%RH,66.369
01-31-14 12:56:01 AM,%RH,66.369
01-31-14 01:56:01 AM,%RH,67.229
01-31-14 02:56:01 AM,%RH,67.659
01-31-14 03:56:01 AM,%RH,67.659
01-31-14 04:56:01 AM,%RH,68.799
01-31-14 05:56:01 AM,%RH,68.941
01-31-14 06:56:01 AM,%RH,68.941
01-31-14 07:56:01 AM,%RH,69.65
01-31-14 08:56:01 AM,%RH,72.88
01-31-14 09:56:01 AM,%RH,70.356
01-31-14 10:56:01 AM,%RH,71.482
01-31-14 11:56:01 AM,%RH,71.341
01-31-14 12:56:01 PM,%RH,71.341
01-31-14 01:56:01 PM,%RH,71.06
01-31-14 02:56:01 PM,%RH,71.06
01-31-14 03:56:01 PM,%RH,71.06
01-31-14 04:56:01 PM,%RH,71.06
01-31-14 05:56:01 PM,%RH,70.779
01-31-14 06:56:01 PM,%RH,70.215
01-31-14 07:56:01 PM,%RH,69.933
01-31-14 08:56:01 PM,%RH,68.799
01-31-14 09:56:01 PM,%RH,68.229
01-31-14 10:56:01 PM,%RH,68.372
01-31-14 11:56:01 PM,%RH,68.372
02-01-14 12:56:01 AM,%RH,69.083
02-01-14 01:56:01 AM,%RH,68.799
02-01-14 02:56:01 AM,%RH,69.225
02-01-14 03:56:01 AM,%RH,69.366
02-01-14 04:56:01 AM,%RH,69.791
02-01-14 05:56:01 AM,%RH,69.933
02-01-14 06:56:01 AM,%RH,70.074
02-01-14 07:56:01 AM,%RH,70.215
02-01-14 08:56:01 AM,%RH,70.497
02-01-14 09:56:01 AM,%RH,71.622
02-01-14 10:56:01 AM,%RH,71.482
02-01-14 11:56:01 AM,%RH,72.182
02-01-14 12:56:01 PM,%RH,72.462
02-01-14 01:56:01 PM,%RH,71.902
02-01-14 02:56:01 PM,%RH,72.601
02-01-14 03:56:01 PM,%RH,71.902
02-01-14 04:56:01 PM,%RH,72.042
02-01-14 05:56:01 PM,%RH,71.201
02-01-14 06:56:01 PM,%RH,71.201
02-01-14 07:56:01 PM,%RH,70.779
02-01-14 08:56:01 PM,%RH,69.225
02-01-14 09:56:01 PM,%RH,68.656
02-01-14 10:56:01 PM,%RH,68.799
02-01-14 11:56:01 PM,%RH,68.514
02-02-14 12:56:01 AM,%RH,67.801
02-02-14 01:56:01 AM,%RH,68.087
02-02-14 02:56:01 AM,%RH,68.514
02-02-14 03:56:01 AM,%RH,67.659
