1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 45000000337F0C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 1200 second(s)
Mission Start Time:  Thu Jul 17 15:06:01 CST 2014
Mission Sample Count:  2560
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Aug 04 04:46:01 CST 2014
Total Mission Samples:  3825
Total Device Samples:  10656
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
04/08/14 04:46:01 AM,C,15.519
04/08/14 05:06:01 AM,C,15.707
04/08/14 05:26:01 AM,C,15.645
04/08/14 05:46:01 AM,C,15.77
04/08/14 06:06:01 AM,C,16.27
04/08/14 06:26:01 AM,C,18.46
04/08/14 06:46:01 AM,C,19.648
04/08/14 07:06:01 AM,C,20.211
04/08/14 07:26:01 AM,C,20.461
04/08/14 07:46:01 AM,C,21.775
04/08/14 08:06:01 AM,C,22.775
04/08/14 08:26:01 AM,C,24.9
04/08/14 08:46:01 AM,C,25.963
04/08/14 09:06:01 AM,C,26.838
04/08/14 09:26:01 AM,C,26.713
04/08/14 09:46:01 AM,C,26.713
04/08/14 10:06:01 AM,C,28.712
04/08/14 10:26:01 AM,C,29.961
04/08/14 10:46:01 AM,C,30.586
04/08/14 11:06:01 AM,C,31.023
04/08/14 11:26:01 AM,C,30.149
04/08/14 11:46:01 AM,C,29.961
04/08/14 12:06:01 PM,C,30.524
04/08/14 12:26:01 PM,C,29.774
04/08/14 12:46:01 PM,C,31.897
04/08/14 01:06:01 PM,C,33.708
04/08/14 01:26:01 PM,C,33.833
04/08/14 01:46:01 PM,C,32.397
04/08/14 02:06:01 PM,C,33.521
04/08/14 02:26:01 PM,C,33.771
04/08/14 02:46:01 PM,C,32.959
04/08/14 03:06:01 PM,C,27.962
04/08/14 03:26:01 PM,C,24.15
04/08/14 03:46:01 PM,C,21.837
04/08/14 04:06:01 PM,C,20.774
04/08/14 04:26:01 PM,C,20.461
04/08/14 04:46:01 PM,C,20.149
04/08/14 05:06:01 PM,C,19.836
04/08/14 05:26:01 PM,C,19.586
04/08/14 05:46:01 PM,C,19.461
04/08/14 06:06:01 PM,C,19.023
04/08/14 06:26:01 PM,C,18.96
04/08/14 06:46:01 PM,C,18.96
04/08/14 07:06:01 PM,C,18.898
04/08/14 07:26:01 PM,C,18.648
04/08/14 07:46:01 PM,C,18.648
04/08/14 08:06:01 PM,C,18.272
04/08/14 08:26:01 PM,C,17.772
04/08/14 08:46:01 PM,C,17.397
04/08/14 09:06:01 PM,C,17.084
04/08/14 09:26:01 PM,C,16.833
04/08/14 09:46:01 PM,C,16.771
04/08/14 10:06:01 PM,C,16.583
04/08/14 10:26:01 PM,C,16.521
04/08/14 10:46:01 PM,C,16.333
04/08/14 11:06:01 PM,C,16.27
04/08/14 11:26:01 PM,C,16.083
04/08/14 11:46:01 PM,C,15.957
05/08/14 12:06:01 AM,C,15.895
05/08/14 12:26:01 AM,C,16.02
05/08/14 12:46:01 AM,C,16.27
05/08/14 01:06:01 AM,C,16.333
05/08/14 01:26:01 AM,C,16.333
05/08/14 01:46:01 AM,C,16.27
05/08/14 02:06:01 AM,C,16.521
05/08/14 02:26:01 AM,C,16.395
05/08/14 02:46:01 AM,C,16.208
05/08/14 03:06:01 AM,C,16.145
05/08/14 03:26:01 AM,C,15.957
05/08/14 03:46:01 AM,C,15.895
05/08/14 04:06:01 AM,C,15.895
05/08/14 04:26:01 AM,C,16.02
05/08/14 04:46:01 AM,C,16.083
05/08/14 05:06:01 AM,C,16.02
05/08/14 05:26:01 AM,C,15.957
05/08/14 05:46:01 AM,C,15.957
05/08/14 06:06:01 AM,C,16.771
05/08/14 06:26:01 AM,C,18.71
05/08/14 06:46:01 AM,C,19.774
05/08/14 07:06:01 AM,C,20.712
05/08/14 07:26:01 AM,C,21.274
05/08/14 07:46:01 AM,C,22.15
05/08/14 08:06:01 AM,C,23.525
05/08/14 08:26:01 AM,C,25.15
05/08/14 08:46:01 AM,C,26.275
05/08/14 09:06:01 AM,C,27.775
05/08/14 09:26:01 AM,C,25.463
05/08/14 09:46:01 AM,C,27.025
05/08/14 10:06:01 AM,C,28.462
05/08/14 10:26:01 AM,C,27.4
05/08/14 10:46:01 AM,C,26.775
05/08/14 11:06:01 AM,C,25.463
05/08/14 11:26:01 AM,C,25.775
05/08/14 11:46:01 AM,C,27.025
05/08/14 12:06:01 PM,C,27.525
05/08/14 12:26:01 PM,C,26.275
05/08/14 12:46:01 PM,C,32.085
05/08/14 01:06:01 PM,C,31.773
05/08/14 01:26:01 PM,C,28.337
05/08/14 01:46:01 PM,C,25.338
05/08/14 02:06:01 PM,C,26.775
05/08/14 02:26:01 PM,C,28.275
05/08/14 02:46:01 PM,C,32.272
05/08/14 03:06:01 PM,C,32.272
05/08/14 03:26:01 PM,C,32.459
05/08/14 03:46:01 PM,C,29.337
05/08/14 04:06:01 PM,C,25.338
05/08/14 04:26:01 PM,C,23.775
05/08/14 04:46:01 PM,C,22.9
05/08/14 05:06:01 PM,C,21.775
05/08/14 05:26:01 PM,C,20.899
05/08/14 05:46:01 PM,C,20.149
05/08/14 06:06:01 PM,C,19.273
05/08/14 06:26:01 PM,C,18.71
05/08/14 06:46:01 PM,C,18.46
05/08/14 07:06:01 PM,C,18.147
05/08/14 07:26:01 PM,C,17.897
05/08/14 07:46:01 PM,C,17.334
05/08/14 08:06:01 PM,C,16.833
05/08/14 08:26:01 PM,C,16.771
05/08/14 08:46:01 PM,C,16.583
05/08/14 09:06:01 PM,C,16.583
05/08/14 09:26:01 PM,C,16.395
05/08/14 09:46:01 PM,C,16.145
05/08/14 10:06:01 PM,C,15.832
05/08/14 10:26:01 PM,C,15.269
05/08/14 10:46:01 PM,C,14.956
05/08/14 11:06:01 PM,C,14.831
05/08/14 11:26:01 PM,C,14.643
05/08/14 11:46:01 PM,C,14.581
06/08/14 12:06:01 AM,C,14.643
06/08/14 12:26:01 AM,C,14.518
06/08/14 12:46:01 AM,C,14.581
06/08/14 01:06:01 AM,C,14.581
06/08/14 01:26:01 AM,C,14.706
06/08/14 01:46:01 AM,C,15.019
06/08/14 02:06:01 AM,C,14.956
06/08/14 02:26:01 AM,C,15.332
06/08/14 02:46:01 AM,C,15.269
06/08/14 03:06:01 AM,C,15.207
06/08/14 03:26:01 AM,C,15.394
06/08/14 03:46:01 AM,C,15.77
06/08/14 04:06:01 AM,C,16.208
06/08/14 04:26:01 AM,C,16.646
06/08/14 04:46:01 AM,C,16.896
06/08/14 05:06:01 AM,C,17.146
06/08/14 05:26:01 AM,C,17.271
06/08/14 05:46:01 AM,C,17.397
06/08/14 06:06:01 AM,C,17.584
06/08/14 06:26:01 AM,C,17.897
06/08/14 06:46:01 AM,C,18.085
06/08/14 07:06:01 AM,C,17.897
06/08/14 07:26:01 AM,C,18.022
06/08/14 07:46:01 AM,C,18.022
06/08/14 08:06:01 AM,C,18.21
06/08/14 08:26:01 AM,C,18.71
06/08/14 08:46:01 AM,C,19.398
06/08/14 09:06:01 AM,C,21.087
06/08/14 09:26:01 AM,C,21.775
06/08/14 09:46:01 AM,C,22.9
06/08/14 10:06:01 AM,C,25.213
06/08/14 10:26:01 AM,C,26.338
06/08/14 10:46:01 AM,C,27.65
06/08/14 11:06:01 AM,C,28.275
06/08/14 11:26:01 AM,C,30.961
06/08/14 11:46:01 AM,C,27.275
06/08/14 12:06:01 PM,C,26.338
06/08/14 12:26:01 PM,C,24.9
06/08/14 12:46:01 PM,C,23.65
06/08/14 01:06:01 PM,C,23.15
06/08/14 01:26:01 PM,C,24.088
06/08/14 01:46:01 PM,C,27.463
06/08/14 02:06:01 PM,C,24.963
06/08/14 02:26:01 PM,C,25.275
06/08/14 02:46:01 PM,C,27.837
06/08/14 03:06:01 PM,C,26.525
06/08/14 03:26:01 PM,C,27.712
06/08/14 03:46:01 PM,C,26.838
06/08/14 04:06:01 PM,C,24.588
06/08/14 04:26:01 PM,C,23.775
06/08/14 04:46:01 PM,C,22.4
06/08/14 05:06:01 PM,C,21.587
06/08/14 05:26:01 PM,C,21.274
06/08/14 05:46:01 PM,C,20.274
06/08/14 06:06:01 PM,C,19.398
06/08/14 06:26:01 PM,C,19.523
06/08/14 06:46:01 PM,C,19.086
06/08/14 07:06:01 PM,C,18.898
06/08/14 07:26:01 PM,C,18.96
06/08/14 07:46:01 PM,C,18.773
06/08/14 08:06:01 PM,C,18.335
06/08/14 08:26:01 PM,C,17.96
06/08/14 08:46:01 PM,C,17.584
06/08/14 09:06:01 PM,C,17.271
06/08/14 09:26:01 PM,C,16.959
06/08/14 09:46:01 PM,C,16.771
06/08/14 10:06:01 PM,C,16.708
06/08/14 10:26:01 PM,C,16.708
06/08/14 10:46:01 PM,C,16.521
06/08/14 11:06:01 PM,C,16.521
06/08/14 11:26:01 PM,C,16.333
06/08/14 11:46:01 PM,C,16.458
07/08/14 12:06:01 AM,C,16.521
07/08/14 12:26:01 AM,C,16.646
07/08/14 12:46:01 AM,C,16.521
07/08/14 01:06:01 AM,C,16.333
07/08/14 01:26:01 AM,C,16.208
07/08/14 01:46:01 AM,C,16.02
07/08/14 02:06:01 AM,C,15.895
07/08/14 02:26:01 AM,C,15.582
07/08/14 02:46:01 AM,C,15.394
07/08/14 03:06:01 AM,C,15.394
07/08/14 03:26:01 AM,C,15.269
07/08/14 03:46:01 AM,C,15.269
07/08/14 04:06:01 AM,C,15.332
07/08/14 04:26:01 AM,C,15.394
07/08/14 04:46:01 AM,C,15.519
07/08/14 05:06:01 AM,C,15.332
07/08/14 05:26:01 AM,C,15.457
07/08/14 05:46:01 AM,C,15.77
07/08/14 06:06:01 AM,C,16.395
07/08/14 06:26:01 AM,C,17.084
07/08/14 06:46:01 AM,C,17.647
07/08/14 07:06:01 AM,C,18.71
07/08/14 07:26:01 AM,C,20.211
07/08/14 07:46:01 AM,C,20.962
07/08/14 08:06:01 AM,C,22.525
07/08/14 08:26:01 AM,C,25.15
07/08/14 08:46:01 AM,C,27.338
07/08/14 09:06:01 AM,C,24.588
07/08/14 09:26:01 AM,C,25.713
07/08/14 09:46:01 AM,C,27.525
07/08/14 10:06:01 AM,C,30.086
07/08/14 10:26:01 AM,C,30.274
07/08/14 10:46:01 AM,C,28.525
07/08/14 11:06:01 AM,C,27.837
07/08/14 11:26:01 AM,C,30.336
07/08/14 11:46:01 AM,C,32.522
07/08/14 12:06:01 PM,C,30.024
07/08/14 12:26:01 PM,C,29.087
07/08/14 12:46:01 PM,C,30.149
07/08/14 01:06:01 PM,C,32.897
07/08/14 01:26:01 PM,C,31.71
07/08/14 01:46:01 PM,C,28.962
07/08/14 02:06:01 PM,C,31.148
07/08/14 02:26:01 PM,C,32.522
07/08/14 02:46:01 PM,C,30.648
07/08/14 03:06:01 PM,C,30.836
07/08/14 03:26:01 PM,C,32.272
07/08/14 03:46:01 PM,C,32.397
07/08/14 04:06:01 PM,C,27.338
07/08/14 04:26:01 PM,C,26.025
07/08/14 04:46:01 PM,C,25.088
07/08/14 05:06:01 PM,C,23.775
07/08/14 05:26:01 PM,C,22.025
07/08/14 05:46:01 PM,C,20.774
07/08/14 06:06:01 PM,C,19.711
07/08/14 06:26:01 PM,C,19.211
07/08/14 06:46:01 PM,C,19.961
07/08/14 07:06:01 PM,C,20.274
07/08/14 07:26:01 PM,C,19.461
07/08/14 07:46:01 PM,C,19.148
07/08/14 08:06:01 PM,C,19.273
07/08/14 08:26:01 PM,C,19.148
07/08/14 08:46:01 PM,C,18.71
07/08/14 09:06:01 PM,C,18.46
07/08/14 09:26:01 PM,C,17.897
07/08/14 09:46:01 PM,C,17.709
07/08/14 10:06:01 PM,C,17.897
07/08/14 10:26:01 PM,C,18.085
07/08/14 10:46:01 PM,C,18.085
07/08/14 11:06:01 PM,C,18.022
07/08/14 11:26:01 PM,C,17.834
07/08/14 11:46:01 PM,C,17.647
08/08/14 12:06:01 AM,C,17.146
08/08/14 12:26:01 AM,C,17.334
08/08/14 12:46:01 AM,C,17.709
08/08/14 01:06:01 AM,C,17.772
08/08/14 01:26:01 AM,C,17.146
08/08/14 01:46:01 AM,C,16.646
08/08/14 02:06:01 AM,C,16.333
08/08/14 02:26:01 AM,C,16.27
08/08/14 02:46:01 AM,C,16.145
08/08/14 03:06:01 AM,C,16.02
08/08/14 03:26:01 AM,C,16.145
08/08/14 03:46:01 AM,C,16.458
08/08/14 04:06:01 AM,C,16.521
08/08/14 04:26:01 AM,C,16.896
08/08/14 04:46:01 AM,C,17.084
08/08/14 05:06:01 AM,C,17.146
08/08/14 05:26:01 AM,C,17.271
08/08/14 05:46:01 AM,C,17.397
08/08/14 06:06:01 AM,C,17.522
08/08/14 06:26:01 AM,C,17.834
08/08/14 06:46:01 AM,C,17.96
08/08/14 07:06:01 AM,C,17.96
08/08/14 07:26:01 AM,C,17.96
08/08/14 07:46:01 AM,C,18.147
08/08/14 08:06:01 AM,C,18.335
08/08/14 08:26:01 AM,C,18.585
08/08/14 08:46:01 AM,C,19.398
08/08/14 09:06:01 AM,C,19.836
08/08/14 09:26:01 AM,C,20.149
08/08/14 09:46:01 AM,C,20.149
08/08/14 10:06:01 AM,C,20.524
08/08/14 10:26:01 AM,C,20.024
08/08/14 10:46:01 AM,C,20.086
08/08/14 11:06:01 AM,C,20.649
08/08/14 11:26:01 AM,C,21.087
08/08/14 11:46:01 AM,C,21.024
08/08/14 12:06:01 PM,C,20.399
08/08/14 12:26:01 PM,C,20.274
08/08/14 12:46:01 PM,C,21.149
08/08/14 01:06:01 PM,C,21.587
08/08/14 01:26:01 PM,C,22.462
08/08/14 01:46:01 PM,C,21.462
08/08/14 02:06:01 PM,C,21.274
08/08/14 02:26:01 PM,C,21.024
08/08/14 02:46:01 PM,C,21.337
08/08/14 03:06:01 PM,C,21.149
08/08/14 03:26:01 PM,C,20.837
08/08/14 03:46:01 PM,C,20.399
08/08/14 04:06:01 PM,C,19.961
08/08/14 04:26:01 PM,C,19.461
08/08/14 04:46:01 PM,C,19.461
08/08/14 05:06:01 PM,C,19.398
08/08/14 05:26:01 PM,C,19.398
08/08/14 05:46:01 PM,C,19.211
08/08/14 06:06:01 PM,C,19.211
08/08/14 06:26:01 PM,C,19.148
08/08/14 06:46:01 PM,C,19.023
08/08/14 07:06:01 PM,C,18.898
08/08/14 07:26:01 PM,C,18.46
08/08/14 07:46:01 PM,C,18.335
08/08/14 08:06:01 PM,C,18.272
08/08/14 08:26:01 PM,C,18.272
08/08/14 08:46:01 PM,C,17.96
08/08/14 09:06:01 PM,C,17.397
08/08/14 09:26:01 PM,C,17.021
08/08/14 09:46:01 PM,C,16.833
08/08/14 10:06:01 PM,C,16.583
08/08/14 10:26:01 PM,C,16.646
08/08/14 10:46:01 PM,C,16.458
08/08/14 11:06:01 PM,C,16.208
08/08/14 11:26:01 PM,C,16.02
08/08/14 11:46:01 PM,C,15.957
09/08/14 12:06:01 AM,C,16.02
09/08/14 12:26:01 AM,C,15.77
09/08/14 12:46:01 AM,C,15.645
09/08/14 01:06:01 AM,C,15.707
09/08/14 01:26:01 AM,C,15.582
09/08/14 01:46:01 AM,C,15.582
09/08/14 02:06:01 AM,C,15.457
09/08/14 02:26:01 AM,C,15.457
09/08/14 02:46:01 AM,C,15.332
09/08/14 03:06:01 AM,C,15.081
09/08/14 03:26:01 AM,C,15.081
09/08/14 03:46:01 AM,C,15.144
09/08/14 04:06:01 AM,C,15.207
09/08/14 04:26:01 AM,C,14.956
09/08/14 04:46:01 AM,C,15.207
09/08/14 05:06:01 AM,C,15.019
09/08/14 05:26:01 AM,C,15.019
09/08/14 05:46:01 AM,C,15.081
09/08/14 06:06:01 AM,C,15.895
09/08/14 06:26:01 AM,C,17.146
09/08/14 06:46:01 AM,C,17.96
09/08/14 07:06:01 AM,C,19.086
09/08/14 07:26:01 AM,C,19.961
09/08/14 07:46:01 AM,C,20.774
09/08/14 08:06:01 AM,C,22.462
09/08/14 08:26:01 AM,C,23.963
09/08/14 08:46:01 AM,C,25.15
09/08/14 09:06:01 AM,C,25.713
09/08/14 09:26:01 AM,C,26.775
09/08/14 09:46:01 AM,C,28.275
09/08/14 10:06:01 AM,C,28.025
09/08/14 10:26:01 AM,C,29.899
09/08/14 10:46:01 AM,C,30.336
09/08/14 11:06:01 AM,C,31.585
09/08/14 11:26:01 AM,C,32.335
09/08/14 11:46:01 AM,C,32.397
09/08/14 12:06:01 PM,C,32.459
09/08/14 12:26:01 PM,C,31.585
09/08/14 12:46:01 PM,C,32.834
09/08/14 01:06:01 PM,C,28.4
09/08/14 01:26:01 PM,C,27.962
09/08/14 01:46:01 PM,C,26.463
09/08/14 02:06:01 PM,C,26.15
09/08/14 02:26:01 PM,C,24.713
09/08/14 02:46:01 PM,C,23.963
09/08/14 03:06:01 PM,C,23.463
09/08/14 03:26:01 PM,C,23.338
09/08/14 03:46:01 PM,C,23.525
09/08/14 04:06:01 PM,C,23.65
09/08/14 04:26:01 PM,C,22.9
09/08/14 04:46:01 PM,C,22.462
09/08/14 05:06:01 PM,C,22.025
09/08/14 05:26:01 PM,C,21.462
09/08/14 05:46:01 PM,C,21.212
09/08/14 06:06:01 PM,C,20.524
09/08/14 06:26:01 PM,C,20.712
09/08/14 06:46:01 PM,C,20.774
09/08/14 07:06:01 PM,C,20.712
09/08/14 07:26:01 PM,C,20.712
09/08/14 07:46:01 PM,C,20.399
09/08/14 08:06:01 PM,C,20.336
09/08/14 08:26:01 PM,C,20.274
09/08/14 08:46:01 PM,C,20.149
09/08/14 09:06:01 PM,C,20.086
09/08/14 09:26:01 PM,C,20.086
09/08/14 09:46:01 PM,C,19.836
09/08/14 10:06:01 PM,C,19.586
09/08/14 10:26:01 PM,C,19.648
09/08/14 10:46:01 PM,C,19.148
09/08/14 11:06:01 PM,C,18.397
09/08/14 11:26:01 PM,C,17.96
09/08/14 11:46:01 PM,C,17.897
10/08/14 12:06:01 AM,C,17.709
10/08/14 12:26:01 AM,C,17.459
10/08/14 12:46:01 AM,C,17.021
10/08/14 01:06:01 AM,C,16.896
10/08/14 01:26:01 AM,C,16.708
10/08/14 01:46:01 AM,C,16.521
10/08/14 02:06:01 AM,C,16.458
10/08/14 02:26:01 AM,C,16.333
10/08/14 02:46:01 AM,C,16.208
10/08/14 03:06:01 AM,C,16.208
10/08/14 03:26:01 AM,C,16.083
10/08/14 03:46:01 AM,C,16.02
10/08/14 04:06:01 AM,C,15.895
10/08/14 04:26:01 AM,C,15.957
10/08/14 04:46:01 AM,C,16.333
10/08/14 05:06:01 AM,C,16.833
10/08/14 05:26:01 AM,C,17.084
10/08/14 05:46:01 AM,C,17.334
10/08/14 06:06:01 AM,C,17.647
10/08/14 06:26:01 AM,C,18.397
10/08/14 06:46:01 AM,C,19.273
10/08/14 07:06:01 AM,C,20.837
10/08/14 07:26:01 AM,C,21.525
10/08/14 07:46:01 AM,C,21.587
10/08/14 08:06:01 AM,C,25.338
10/08/14 08:26:01 AM,C,24.338
10/08/14 08:46:01 AM,C,23.963
10/08/14 09:06:01 AM,C,23.525
10/08/14 09:26:01 AM,C,22.963
10/08/14 09:46:01 AM,C,24.088
10/08/14 10:06:01 AM,C,26.025
10/08/14 10:26:01 AM,C,27.213
10/08/14 10:46:01 AM,C,28.275
10/08/14 11:06:01 AM,C,29.399
10/08/14 11:26:01 AM,C,29.712
10/08/14 11:46:01 AM,C,32.272
10/08/14 12:06:01 PM,C,32.085
10/08/14 12:26:01 PM,C,30.648
10/08/14 12:46:01 PM,C,26.963
10/08/14 01:06:01 PM,C,31.398
10/08/14 01:26:01 PM,C,34.083
10/08/14 01:46:01 PM,C,34.894
10/08/14 02:06:01 PM,C,33.521
10/08/14 02:26:01 PM,C,30.149
10/08/14 02:46:01 PM,C,29.649
10/08/14 03:06:01 PM,C,28.15
10/08/14 03:26:01 PM,C,26.213
10/08/14 03:46:01 PM,C,24.838
10/08/14 04:06:01 PM,C,24.025
10/08/14 04:26:01 PM,C,24.275
10/08/14 04:46:01 PM,C,23.588
10/08/14 05:06:01 PM,C,22.4
10/08/14 05:26:01 PM,C,21.587
10/08/14 05:46:01 PM,C,21.087
10/08/14 06:06:01 PM,C,20.649
10/08/14 06:26:01 PM,C,20.024
10/08/14 06:46:01 PM,C,19.586
10/08/14 07:06:01 PM,C,19.148
10/08/14 07:26:01 PM,C,19.336
10/08/14 07:46:01 PM,C,19.398
10/08/14 08:06:01 PM,C,18.71
10/08/14 08:26:01 PM,C,18.21
10/08/14 08:46:01 PM,C,17.96
10/08/14 09:06:01 PM,C,17.584
10/08/14 09:26:01 PM,C,17.334
10/08/14 09:46:01 PM,C,17.334
10/08/14 10:06:01 PM,C,17.146
10/08/14 10:26:01 PM,C,17.146
10/08/14 10:46:01 PM,C,16.959
10/08/14 11:06:01 PM,C,17.772
10/08/14 11:26:01 PM,C,18.21
10/08/14 11:46:01 PM,C,18.272
11/08/14 12:06:01 AM,C,17.522
11/08/14 12:26:01 AM,C,17.084
11/08/14 12:46:01 AM,C,16.959
11/08/14 01:06:01 AM,C,16.959
11/08/14 01:26:01 AM,C,16.771
11/08/14 01:46:01 AM,C,16.771
11/08/14 02:06:01 AM,C,16.583
11/08/14 02:26:01 AM,C,16.583
11/08/14 02:46:01 AM,C,16.646
11/08/14 03:06:01 AM,C,16.896
11/08/14 03:26:01 AM,C,17.084
11/08/14 03:46:01 AM,C,17.334
11/08/14 04:06:01 AM,C,17.647
11/08/14 04:26:01 AM,C,17.709
11/08/14 04:46:01 AM,C,17.647
11/08/14 05:06:01 AM,C,17.522
11/08/14 05:26:01 AM,C,17.584
11/08/14 05:46:01 AM,C,17.459
11/08/14 06:06:01 AM,C,17.584
11/08/14 06:26:01 AM,C,18.585
11/08/14 06:46:01 AM,C,20.211
11/08/14 07:06:01 AM,C,21.274
11/08/14 07:26:01 AM,C,20.399
11/08/14 07:46:01 AM,C,21.024
11/08/14 08:06:01 AM,C,21.9
11/08/14 08:26:01 AM,C,22.212
11/08/14 08:46:01 AM,C,23.213
11/08/14 09:06:01 AM,C,24.025
11/08/14 09:26:01 AM,C,23.65
11/08/14 09:46:01 AM,C,23.713
11/08/14 10:06:01 AM,C,29.524
11/08/14 10:26:01 AM,C,30.274
11/08/14 10:46:01 AM,C,28.15
11/08/14 11:06:01 AM,C,26.525
11/08/14 11:26:01 AM,C,28.025
11/08/14 11:46:01 AM,C,30.149
11/08/14 12:06:01 PM,C,31.897
11/08/14 12:26:01 PM,C,33.334
11/08/14 12:46:01 PM,C,33.334
11/08/14 01:06:01 PM,C,33.084
11/08/14 01:26:01 PM,C,33.521
11/08/14 01:46:01 PM,C,35.082
11/08/14 02:06:01 PM,C,33.958
11/08/14 02:26:01 PM,C,34.208
11/08/14 02:46:01 PM,C,34.645
11/08/14 03:06:01 PM,C,29.462
11/08/14 03:26:01 PM,C,28.9
11/08/14 03:46:01 PM,C,25.275
11/08/14 04:06:01 PM,C,21.337
11/08/14 04:26:01 PM,C,20.899
11/08/14 04:46:01 PM,C,20.774
11/08/14 05:06:01 PM,C,20.587
11/08/14 05:26:01 PM,C,20.461
11/08/14 05:46:01 PM,C,20.211
11/08/14 06:06:01 PM,C,20.149
11/08/14 06:26:01 PM,C,20.086
11/08/14 06:46:01 PM,C,20.086
11/08/14 07:06:01 PM,C,20.086
11/08/14 07:26:01 PM,C,19.711
11/08/14 07:46:01 PM,C,19.398
11/08/14 08:06:01 PM,C,19.523
11/08/14 08:26:01 PM,C,19.273
11/08/14 08:46:01 PM,C,18.96
11/08/14 09:06:01 PM,C,18.71
11/08/14 09:26:01 PM,C,18.523
11/08/14 09:46:01 PM,C,18.335
11/08/14 10:06:01 PM,C,18.272
11/08/14 10:26:01 PM,C,17.96
11/08/14 10:46:01 PM,C,18.022
11/08/14 11:06:01 PM,C,18.147
11/08/14 11:26:01 PM,C,17.96
11/08/14 11:46:01 PM,C,17.834
12/08/14 12:06:01 AM,C,17.709
12/08/14 12:26:01 AM,C,18.21
12/08/14 12:46:01 AM,C,18.272
12/08/14 01:06:01 AM,C,17.834
12/08/14 01:26:01 AM,C,17.897
12/08/14 01:46:01 AM,C,18.21
12/08/14 02:06:01 AM,C,18.085
12/08/14 02:26:01 AM,C,17.96
12/08/14 02:46:01 AM,C,17.834
12/08/14 03:06:01 AM,C,17.834
12/08/14 03:26:01 AM,C,17.772
12/08/14 03:46:01 AM,C,17.647
12/08/14 04:06:01 AM,C,17.459
12/08/14 04:26:01 AM,C,17.146
12/08/14 04:46:01 AM,C,16.959
12/08/14 05:06:01 AM,C,16.833
12/08/14 05:26:01 AM,C,16.646
12/08/14 05:46:01 AM,C,16.583
12/08/14 06:06:01 AM,C,16.896
12/08/14 06:26:01 AM,C,17.397
12/08/14 06:46:01 AM,C,18.085
12/08/14 07:06:01 AM,C,18.585
12/08/14 07:26:01 AM,C,18.585
12/08/14 07:46:01 AM,C,19.023
12/08/14 08:06:01 AM,C,19.273
12/08/14 08:26:01 AM,C,19.461
12/08/14 08:46:01 AM,C,19.961
12/08/14 09:06:01 AM,C,20.649
12/08/14 09:26:01 AM,C,21.087
12/08/14 09:46:01 AM,C,22.713
12/08/14 10:06:01 AM,C,23.65
12/08/14 10:26:01 AM,C,23.775
12/08/14 10:46:01 AM,C,23.9
12/08/14 11:06:01 AM,C,23.775
12/08/14 11:26:01 AM,C,23.963
12/08/14 11:46:01 AM,C,24.525
12/08/14 12:06:01 PM,C,24.588
12/08/14 12:26:01 PM,C,25.838
12/08/14 12:46:01 PM,C,24.963
12/08/14 01:06:01 PM,C,24.9
12/08/14 01:26:01 PM,C,24.4
12/08/14 01:46:01 PM,C,23.213
12/08/14 02:06:01 PM,C,23.088
12/08/14 02:26:01 PM,C,23.463
12/08/14 02:46:01 PM,C,22.525
12/08/14 03:06:01 PM,C,24.213
12/08/14 03:26:01 PM,C,24.4
12/08/14 03:46:01 PM,C,22.713
12/08/14 04:06:01 PM,C,22.4
12/08/14 04:26:01 PM,C,22.025
12/08/14 04:46:01 PM,C,21.462
12/08/14 05:06:01 PM,C,20.962
12/08/14 05:26:01 PM,C,20.712
12/08/14 05:46:01 PM,C,20.461
12/08/14 06:06:01 PM,C,19.961
12/08/14 06:26:01 PM,C,20.024
12/08/14 06:46:01 PM,C,19.648
12/08/14 07:06:01 PM,C,19.211
12/08/14 07:26:01 PM,C,18.71
12/08/14 07:46:01 PM,C,18.397
12/08/14 08:06:01 PM,C,18.022
12/08/14 08:26:01 PM,C,17.772
12/08/14 08:46:01 PM,C,17.522
12/08/14 09:06:01 PM,C,17.397
12/08/14 09:26:01 PM,C,17.146
12/08/14 09:46:01 PM,C,16.959
12/08/14 10:06:01 PM,C,16.646
12/08/14 10:26:01 PM,C,16.395
12/08/14 10:46:01 PM,C,16.395
12/08/14 11:06:01 PM,C,16.27
12/08/14 11:26:01 PM,C,16.208
12/08/14 11:46:01 PM,C,17.021
13/08/14 12:06:01 AM,C,17.334
13/08/14 12:26:01 AM,C,17.584
13/08/14 12:46:01 AM,C,17.834
13/08/14 01:06:01 AM,C,18.085
13/08/14 01:26:01 AM,C,18.272
13/08/14 01:46:01 AM,C,18.272
13/08/14 02:06:01 AM,C,18.272
13/08/14 02:26:01 AM,C,18.147
13/08/14 02:46:01 AM,C,17.834
13/08/14 03:06:01 AM,C,17.897
13/08/14 03:26:01 AM,C,18.085
13/08/14 03:46:01 AM,C,18.21
13/08/14 04:06:01 AM,C,18.272
13/08/14 04:26:01 AM,C,18.272
13/08/14 04:46:01 AM,C,17.834
13/08/14 05:06:01 AM,C,17.084
13/08/14 05:26:01 AM,C,16.646
